keying,mode,family_semantics,severity,threshold_fraction,raw_gap,width_matched_gap,joint_width_family_matched_gap,width_gap_reduction_from_raw,joint_gap_reduction_from_raw,width_status,joint_status,interpretation
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.75,0.25,0.0,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.75,0.5,0.0,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.75,0.75,0.0,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,ledger_failure,at_least_k,0.25,0.25,-0.1414141414141414,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,ledger_failure,at_least_k,0.25,0.5,-0.09988584474885845,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,ledger_failure,at_least_k,0.25,0.75,-0.07424242424242425,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,ledger_failure,at_least_k,0.5,0.25,-0.27441077441077444,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,ledger_failure,at_least_k,0.5,0.5,-0.21575342465753425,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,ledger_failure,at_least_k,0.5,0.75,-0.1787878787878788,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,ledger_failure,at_least_k,0.75,0.25,-0.3223905723905724,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,ledger_failure,at_least_k,0.75,0.5,-0.2420091324200913,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,ledger_failure,at_least_k,0.75,0.75,-0.1621212121212121,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,ledger_failure,augmented_exact_k,0.25,0.25,-0.15200868621064062,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,ledger_failure,augmented_exact_k,0.25,0.5,-0.11688954928182269,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,ledger_failure,augmented_exact_k,0.25,0.75,-0.07424242424242425,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,ledger_failure,augmented_exact_k,0.5,0.25,-0.2703583061889251,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,ledger_failure,augmented_exact_k,0.5,0.5,-0.24021792966815256,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,ledger_failure,augmented_exact_k,0.5,0.75,-0.1787878787878788,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,ledger_failure,augmented_exact_k,0.75,0.25,-0.19435396308360478,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,ledger_failure,augmented_exact_k,0.75,0.5,-0.22486379395740466,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,ledger_failure,augmented_exact_k,0.75,0.75,-0.1621212121212121,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,orientation_degradation,at_least_k,0.25,0.25,-0.16077441077441076,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,orientation_degradation,at_least_k,0.25,0.5,-0.11358447488584475,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,orientation_degradation,at_least_k,0.25,0.75,-0.09242424242424242,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,orientation_degradation,at_least_k,0.5,0.25,-0.2769360269360269,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,orientation_degradation,at_least_k,0.5,0.5,-0.19863013698630136,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,orientation_degradation,at_least_k,0.5,0.75,-0.15,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,orientation_degradation,at_least_k,0.75,0.25,-0.29208754208754206,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,orientation_degradation,at_least_k,0.75,0.5,-0.2522831050228311,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,orientation_degradation,at_least_k,0.75,0.75,-0.19090909090909092,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,orientation_degradation,augmented_exact_k,0.25,0.25,-0.1498371335504886,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,orientation_degradation,augmented_exact_k,0.25,0.5,-0.133234274393264,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,orientation_degradation,augmented_exact_k,0.25,0.75,-0.09242424242424242,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,orientation_degradation,augmented_exact_k,0.5,0.25,-0.21389793702497287,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,orientation_degradation,augmented_exact_k,0.5,0.5,-0.2199108469539376,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,orientation_degradation,augmented_exact_k,0.5,0.75,-0.15,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,orientation_degradation,augmented_exact_k,0.75,0.25,-0.24538545059717698,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,orientation_degradation,augmented_exact_k,0.75,0.5,-0.2362555720653789,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,orientation_degradation,augmented_exact_k,0.75,0.75,-0.19090909090909092,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
