config_id,source,keying,surface,mode,family_semantics,threshold_fraction,joint_strata,estimable_joint_strata,estimable_joint_fraction,estimable_rows,status
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,v1_7_orientation_overlap,ledger_failure,augmented_exact_k,0.5,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,v1_7_orientation_overlap,ledger_failure,augmented_exact_k,0.75,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,v1_7_orientation_overlap,orientation_degradation,at_least_k,0.25,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,v1_7_orientation_overlap,orientation_degradation,at_least_k,0.5,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,v1_7_orientation_overlap,orientation_degradation,at_least_k,0.75,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,v1_7_orientation_overlap,orientation_degradation,augmented_exact_k,0.25,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,v1_7_orientation_overlap,orientation_degradation,augmented_exact_k,0.5,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,v1_7_orientation_overlap,orientation_degradation,augmented_exact_k,0.75,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,v1_7_orientation_overlap,selector_stress,at_least_k,0.25,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,v1_7_orientation_overlap,selector_stress,at_least_k,0.5,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,v1_7_orientation_overlap,selector_stress,at_least_k,0.75,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,v1_7_orientation_overlap,selector_stress,augmented_exact_k,0.25,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,v1_7_orientation_overlap,selector_stress,augmented_exact_k,0.5,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,v1_7_orientation_overlap,selector_stress,augmented_exact_k,0.75,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,edge_pair_signed_no_member,v1_7_orientation_overlap,ledger_failure,at_least_k,0.25,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,edge_pair_signed_no_member,v1_7_orientation_overlap,ledger_failure,at_least_k,0.5,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,edge_pair_signed_no_member,v1_7_orientation_overlap,ledger_failure,at_least_k,0.75,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,edge_pair_signed_no_member,v1_7_orientation_overlap,ledger_failure,augmented_exact_k,0.25,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,edge_pair_signed_no_member,v1_7_orientation_overlap,ledger_failure,augmented_exact_k,0.5,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,edge_pair_signed_no_member,v1_7_orientation_overlap,ledger_failure,augmented_exact_k,0.75,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,edge_pair_signed_no_member,v1_7_orientation_overlap,orientation_degradation,at_least_k,0.25,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,edge_pair_signed_no_member,v1_7_orientation_overlap,orientation_degradation,at_least_k,0.5,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,edge_pair_signed_no_member,v1_7_orientation_overlap,orientation_degradation,at_least_k,0.75,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,edge_pair_signed_no_member,v1_7_orientation_overlap,orientation_degradation,augmented_exact_k,0.25,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,edge_pair_signed_no_member,v1_7_orientation_overlap,orientation_degradation,augmented_exact_k,0.5,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,edge_pair_signed_no_member,v1_7_orientation_overlap,orientation_degradation,augmented_exact_k,0.75,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,edge_pair_signed_no_member,v1_7_orientation_overlap,selector_stress,at_least_k,0.25,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,edge_pair_signed_no_member,v1_7_orientation_overlap,selector_stress,at_least_k,0.5,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,edge_pair_signed_no_member,v1_7_orientation_overlap,selector_stress,at_least_k,0.75,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,edge_pair_signed_no_member,v1_7_orientation_overlap,selector_stress,augmented_exact_k,0.25,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,edge_pair_signed_no_member,v1_7_orientation_overlap,selector_stress,augmented_exact_k,0.5,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,edge_pair_signed_no_member,v1_7_orientation_overlap,selector_stress,augmented_exact_k,0.75,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,incidence_role_signed,v1_7_orientation_overlap,ledger_failure,at_least_k,0.25,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,incidence_role_signed,v1_7_orientation_overlap,ledger_failure,at_least_k,0.5,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,incidence_role_signed,v1_7_orientation_overlap,ledger_failure,at_least_k,0.75,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,incidence_role_signed,v1_7_orientation_overlap,ledger_failure,augmented_exact_k,0.25,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,incidence_role_signed,v1_7_orientation_overlap,ledger_failure,augmented_exact_k,0.5,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,incidence_role_signed,v1_7_orientation_overlap,ledger_failure,augmented_exact_k,0.75,4,0,0.0,0,non_estimable_under_fixed_bins
outputs,v1_7_matched_graph_keyed_trials,incidence_role_signed,v1_7_orientation_overlap,orientation_degradation,at_least_k,0.25,4,0,0.0,0,non_estimable_under_fixed_bins
