config_id,source,keying,mode,family_semantics,orientation_bin,support_width,family_size,rows,bin_rows,fraction
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,selector_stress,augmented_exact_k,medium,3,4,1340,10800,0.12407407407407407
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,selector_stress,augmented_exact_k,medium,4,5,1888,10800,0.1748148148148148
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,ledger_failure,at_least_k,high,2,3,2268,10800,0.21
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,ledger_failure,at_least_k,high,3,4,2142,10800,0.19833333333333333
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,ledger_failure,at_least_k,high,3,7,1296,10800,0.12
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,ledger_failure,at_least_k,high,4,5,1980,10800,0.18333333333333332
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,ledger_failure,at_least_k,high,4,11,1980,10800,0.18333333333333332
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,ledger_failure,at_least_k,high,4,15,1134,10800,0.105
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,ledger_failure,at_least_k,low,1,1,8373,10800,0.7752777777777777
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,ledger_failure,at_least_k,low,2,1,1143,10800,0.10583333333333333
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,ledger_failure,at_least_k,low,3,1,1284,10800,0.11888888888888889
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,ledger_failure,at_least_k,medium,1,1,5856,10800,0.5422222222222223
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,ledger_failure,at_least_k,medium,2,1,792,10800,0.07333333333333333
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,ledger_failure,at_least_k,medium,2,3,1602,10800,0.14833333333333334
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,ledger_failure,at_least_k,medium,3,1,858,10800,0.07944444444444444
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,ledger_failure,at_least_k,medium,3,7,846,10800,0.07833333333333334
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,ledger_failure,at_least_k,medium,4,15,846,10800,0.07833333333333334
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,ledger_failure,augmented_exact_k,high,2,3,3870,10800,0.35833333333333334
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,ledger_failure,augmented_exact_k,high,3,4,2970,10800,0.275
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,ledger_failure,augmented_exact_k,high,4,5,1980,10800,0.18333333333333332
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,ledger_failure,augmented_exact_k,high,4,7,1980,10800,0.18333333333333332
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,ledger_failure,augmented_exact_k,low,1,1,8373,10800,0.7752777777777777
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,ledger_failure,augmented_exact_k,low,2,1,1143,10800,0.10583333333333333
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,ledger_failure,augmented_exact_k,low,3,1,1284,10800,0.11888888888888889
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,ledger_failure,augmented_exact_k,medium,1,1,5856,10800,0.5422222222222223
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,ledger_failure,augmented_exact_k,medium,2,1,792,10800,0.07333333333333333
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,ledger_failure,augmented_exact_k,medium,3,1,858,10800,0.07944444444444444
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,ledger_failure,augmented_exact_k,medium,3,4,1314,10800,0.12166666666666667
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,ledger_failure,augmented_exact_k,medium,4,5,1980,10800,0.18333333333333332
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,orientation_degradation,at_least_k,high,2,3,2268,10800,0.21
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,orientation_degradation,at_least_k,high,3,4,2142,10800,0.19833333333333333
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,orientation_degradation,at_least_k,high,3,7,1296,10800,0.12
outputs,v1_7_matched_graph_keyed_trials,edge_direction_only,orientation_degradation,at_least_k,high,4,5,1980,10800,0.18333333333333332
