motif,site,run_seed,seed,mode,severity,support_width,threshold_fraction,threshold_k,family_semantics,certification_regime,certificate_correlation,family_size,parent_cut_in_family,strict_before_ready,family_before_ready,strict_after_ready,family_after_ready,strict_parent_loss,family_internal_loss,strict_rescue_event,family_internal_survival,certification_mode,strict_parent_cert_failed,certification_rescue_event,family_certification_resilience_event,shared_failure_used,shared_failure_value,comparison_valid_strict_vs_family,metric_artifact_risk,apples_to_apples_loss_delta,uncertified_family_cut_count,certified_family_member_count,uncertified_family_member_fraction,unavailable_support_count,affected_edge_count,delay_depth,selector_stress,strict_finality_depth_before,strict_finality_depth_after,strict_recovery_length,family_recovery_length,intervention_detail,certification_detail,pair_count,weighted_native_overlap,induced_certificate_correlation,native_overlap_bin,overlap_weight_profile,support_overlap,frontier_overlap,orientation_overlap,ledger_overlap,causal_past_overlap,bdg_kernel_overlap,firewall_overlap,native_certification_regime,certificate_correlation_source,external_certificate_correlation,v1_6_graph_coupled_orientation_link_overlap,v1_6_run_seed,v1_6_severance_seed,v1_6_motif_kind,v1_6_site,v1_6_family_size,v1_6_dag_node_count
renewal_32,32,,101,ledger_failure,0.5,2,0.5,1,at_least_k,independent_member,0.424364,3,True,True,True,False,True,True,False,True,True,True,True,True,True,False,False,True,False,-1,2,1,0.666667,0,0,0,False,,,0,0,certification_state_supplied_separately,independent_member domain=3 uncertified_family_cuts=2 strict_parent_uncertified=True correlation=0.424364 shared_used=False shared_failed=False,3,0.424364,0.424364,medium,balanced,0.333333,0.333333,0.333333,0.555556,0.5,0.466667,0.554545,native_overlap_induced,native_witness_overlap,0.424364,0.0,17,101,renewal,32,3,33
renewal_32,32,,101,ledger_failure,0.5,2,0.5,1,augmented_exact_k,independent_member,0.424364,3,True,True,True,False,True,True,False,True,True,True,True,True,True,False,False,True,False,-1,2,1,0.666667,0,0,0,False,,,0,0,certification_state_supplied_separately,independent_member domain=3 uncertified_family_cuts=2 strict_parent_uncertified=True correlation=0.424364 shared_used=False shared_failed=False,3,0.424364,0.424364,medium,balanced,0.333333,0.333333,0.333333,0.555556,0.5,0.466667,0.554545,native_overlap_induced,native_witness_overlap,0.424364,0.0,17,101,renewal,32,3,33
renewal_21,21,,101,ledger_failure,0.5,3,0.5,2,at_least_k,independent_member,0.535265,4,True,True,True,False,False,True,True,False,False,True,True,False,False,True,True,True,False,0,4,0,1.0,0,0,0,False,5,5,0,,certification_state_supplied_separately,independent_member domain=4 uncertified_family_cuts=4 strict_parent_uncertified=True correlation=0.535265 shared_used=True shared_failed=True,6,0.535265,0.535265,medium,balanced,0.5,0.5,0.5,0.625,0.578947,0.541667,0.489059,native_overlap_induced,native_witness_overlap,0.535265,0.0,17,101,renewal,21,4,33
renewal_21,21,,101,ledger_failure,0.5,3,0.5,2,augmented_exact_k,independent_member,0.535265,4,True,True,True,False,False,True,True,False,False,True,True,False,False,True,True,True,False,0,4,0,1.0,0,0,0,False,5,5,0,,certification_state_supplied_separately,independent_member domain=4 uncertified_family_cuts=4 strict_parent_uncertified=True correlation=0.535265 shared_used=True shared_failed=True,6,0.535265,0.535265,medium,balanced,0.5,0.5,0.5,0.625,0.578947,0.541667,0.489059,native_overlap_induced,native_witness_overlap,0.535265,0.0,17,101,renewal,21,4,33
renewal_13,13,,101,ledger_failure,0.5,4,0.5,2,at_least_k,independent_member,0.512692,11,True,True,True,False,True,True,False,True,True,True,True,True,True,False,False,True,False,-1,7,4,0.636364,0,0,0,False,5,5,0,0,certification_state_supplied_separately,independent_member domain=11 uncertified_family_cuts=7 strict_parent_uncertified=True correlation=0.512692 shared_used=False shared_failed=False,55,0.512692,0.512692,medium,balanced,0.436364,0.436364,0.436364,0.663312,0.582857,0.533774,0.538329,native_overlap_induced,native_witness_overlap,0.512692,0.06666666666666667,17,101,renewal,13,11,33
renewal_13,13,,101,ledger_failure,0.5,4,0.5,2,augmented_exact_k,independent_member,0.425984,7,True,True,True,True,True,False,False,False,True,True,False,False,True,True,False,True,False,0,0,7,0.0,0,0,0,False,5,5,0,0,certification_state_supplied_separately,independent_member domain=7 uncertified_family_cuts=0 strict_parent_uncertified=False correlation=0.425984 shared_used=True shared_failed=False,21,0.425984,0.425984,medium,balanced,0.333333,0.333333,0.333333,0.610544,0.502948,0.448581,0.469258,native_overlap_induced,native_witness_overlap,0.425984,0.06060606060606061,17,101,renewal,13,7,33
renewal_1,1,,101,orientation_degradation,0.5,1,0.5,1,at_least_k,independent_member,1.0,1,True,True,True,False,False,True,True,False,False,True,True,False,False,True,True,True,False,0,1,0,1.0,0,0,0,False,0,0,0,,certification_state_supplied_separately,independent_member domain=1 uncertified_family_cuts=1 strict_parent_uncertified=True correlation=1.0 shared_used=True shared_failed=True,0,1.0,1.0,high,balanced,1.0,1.0,1.0,1.0,1.0,1.0,1.0,native_overlap_induced,native_witness_overlap,1.0,0.0,17,101,renewal,1,1,33
renewal_1,1,,101,orientation_degradation,0.5,1,0.5,1,augmented_exact_k,independent_member,1.0,1,True,True,True,False,False,True,True,False,False,True,True,False,False,True,True,True,False,0,1,0,1.0,0,0,0,False,0,0,0,,certification_state_supplied_separately,independent_member domain=1 uncertified_family_cuts=1 strict_parent_uncertified=True correlation=1.0 shared_used=True shared_failed=True,0,1.0,1.0,high,balanced,1.0,1.0,1.0,1.0,1.0,1.0,1.0,native_overlap_induced,native_witness_overlap,1.0,0.0,17,101,renewal,1,1,33
renewal_27,27,,101,orientation_degradation,0.5,2,0.5,1,at_least_k,independent_member,0.514906,3,True,True,True,False,True,True,False,True,True,True,True,True,True,False,False,True,False,-1,2,1,0.666667,0,0,0,False,,,0,0,certification_state_supplied_separately,independent_member domain=3 uncertified_family_cuts=2 strict_parent_uncertified=True correlation=0.514906 shared_used=False shared_failed=False,3,0.514906,0.514906,medium,balanced,0.333333,0.333333,0.333333,0.733333,0.666667,0.666667,0.786325,native_overlap_induced,native_witness_overlap,0.514906,0.0,17,101,renewal,27,3,33
renewal_27,27,,101,orientation_degradation,0.5,2,0.5,1,augmented_exact_k,independent_member,0.514906,3,True,True,True,False,True,True,False,True,True,True,True,True,True,False,False,True,False,-1,2,1,0.666667,0,0,0,False,,,0,0,certification_state_supplied_separately,independent_member domain=3 uncertified_family_cuts=2 strict_parent_uncertified=True correlation=0.514906 shared_used=False shared_failed=False,3,0.514906,0.514906,medium,balanced,0.333333,0.333333,0.333333,0.733333,0.666667,0.666667,0.786325,native_overlap_induced,native_witness_overlap,0.514906,0.0,17,101,renewal,27,3,33
renewal_18,18,,101,orientation_degradation,0.5,3,0.5,2,at_least_k,independent_member,0.557511,4,True,True,True,False,False,True,True,False,False,True,True,False,False,True,True,True,False,0,4,0,1.0,0,0,0,False,5,5,0,,certification_state_supplied_separately,independent_member domain=4 uncertified_family_cuts=4 strict_parent_uncertified=True correlation=0.557511 shared_used=True shared_failed=True,6,0.557511,0.557511,medium,balanced,0.5,0.5,0.5,0.714286,0.590909,0.55,0.537882,native_overlap_induced,native_witness_overlap,0.557511,0.0,17,101,renewal,18,4,33
renewal_18,18,,101,orientation_degradation,0.5,3,0.5,2,augmented_exact_k,independent_member,0.557511,4,True,True,True,False,False,True,True,False,False,True,True,False,False,True,True,True,False,0,4,0,1.0,0,0,0,False,5,5,0,,certification_state_supplied_separately,independent_member domain=4 uncertified_family_cuts=4 strict_parent_uncertified=True correlation=0.557511 shared_used=True shared_failed=True,6,0.557511,0.557511,medium,balanced,0.5,0.5,0.5,0.714286,0.590909,0.55,0.537882,native_overlap_induced,native_witness_overlap,0.557511,0.0,17,101,renewal,18,4,33
renewal_8,8,,101,orientation_degradation,0.5,4,0.5,2,at_least_k,independent_member,0.539431,11,True,True,True,True,True,False,False,False,True,True,False,False,True,True,False,True,False,0,0,11,0.0,0,0,0,False,5,5,0,0,certification_state_supplied_separately,independent_member domain=11 uncertified_family_cuts=0 strict_parent_uncertified=False correlation=0.539431 shared_used=True shared_failed=False,55,0.539431,0.539431,medium,balanced,0.436364,0.436364,0.436364,0.693506,0.611429,0.611429,0.664703,native_overlap_induced,native_witness_overlap,0.539431,0.06666666666666667,17,101,renewal,8,11,33
renewal_8,8,,101,orientation_degradation,0.5,4,0.5,2,augmented_exact_k,independent_member,0.460237,7,True,True,True,False,True,True,False,True,True,True,True,True,True,False,False,True,False,-1,3,4,0.428571,0,0,0,False,5,5,0,0,certification_state_supplied_separately,independent_member domain=7 uncertified_family_cuts=3 strict_parent_uncertified=True correlation=0.460237 shared_used=False shared_failed=False,21,0.460237,0.460237,medium,balanced,0.333333,0.333333,0.333333,0.646259,0.548299,0.548299,0.624391,native_overlap_induced,native_witness_overlap,0.460237,0.08333333333333333,17,101,renewal,8,7,33
renewal_2,2,,101,orientation_degradation,0.5,1,0.5,1,at_least_k,independent_member,1.0,1,True,True,True,False,False,True,True,False,False,True,True,False,False,True,True,True,False,0,1,0,1.0,0,0,0,False,5,5,0,,certification_state_supplied_separately,independent_member domain=1 uncertified_family_cuts=1 strict_parent_uncertified=True correlation=1.0 shared_used=True shared_failed=True,0,1.0,1.0,high,balanced,1.0,1.0,1.0,1.0,1.0,1.0,1.0,native_overlap_induced,native_witness_overlap,1.0,0.0,17,101,renewal,2,1,33
renewal_2,2,,101,orientation_degradation,0.5,1,0.5,1,augmented_exact_k,independent_member,1.0,1,True,True,True,False,False,True,True,False,False,True,True,False,False,True,True,True,False,0,1,0,1.0,0,0,0,False,5,5,0,,certification_state_supplied_separately,independent_member domain=1 uncertified_family_cuts=1 strict_parent_uncertified=True correlation=1.0 shared_used=True shared_failed=True,0,1.0,1.0,high,balanced,1.0,1.0,1.0,1.0,1.0,1.0,1.0,native_overlap_induced,native_witness_overlap,1.0,0.0,17,101,renewal,2,1,33
renewal_32,32,,101,orientation_degradation,0.5,2,0.5,1,at_least_k,independent_member,0.424364,3,True,True,True,True,True,False,False,False,True,True,False,False,True,True,False,True,False,0,0,3,0.0,0,0,0,False,,,0,0,certification_state_supplied_separately,independent_member domain=3 uncertified_family_cuts=0 strict_parent_uncertified=False correlation=0.424364 shared_used=True shared_failed=False,3,0.424364,0.424364,medium,balanced,0.333333,0.333333,0.333333,0.555556,0.5,0.466667,0.554545,native_overlap_induced,native_witness_overlap,0.424364,0.0,17,101,renewal,32,3,33
renewal_32,32,,101,orientation_degradation,0.5,2,0.5,1,augmented_exact_k,independent_member,0.424364,3,True,True,True,True,True,False,False,False,True,True,False,False,True,True,False,True,False,0,0,3,0.0,0,0,0,False,,,0,0,certification_state_supplied_separately,independent_member domain=3 uncertified_family_cuts=0 strict_parent_uncertified=False correlation=0.424364 shared_used=True shared_failed=False,3,0.424364,0.424364,medium,balanced,0.333333,0.333333,0.333333,0.555556,0.5,0.466667,0.554545,native_overlap_induced,native_witness_overlap,0.424364,0.0,17,101,renewal,32,3,33
renewal_21,21,,101,orientation_degradation,0.5,3,0.5,2,at_least_k,independent_member,0.535265,4,True,True,True,True,True,False,False,False,True,True,False,False,True,True,False,True,False,0,0,4,0.0,0,0,0,False,5,5,0,0,certification_state_supplied_separately,independent_member domain=4 uncertified_family_cuts=0 strict_parent_uncertified=False correlation=0.535265 shared_used=True shared_failed=False,6,0.535265,0.535265,medium,balanced,0.5,0.5,0.5,0.625,0.578947,0.541667,0.489059,native_overlap_induced,native_witness_overlap,0.535265,0.0,17,101,renewal,21,4,33
renewal_21,21,,101,orientation_degradation,0.5,3,0.5,2,augmented_exact_k,independent_member,0.535265,4,True,True,True,True,True,False,False,False,True,True,False,False,True,True,False,True,False,0,0,4,0.0,0,0,0,False,5,5,0,0,certification_state_supplied_separately,independent_member domain=4 uncertified_family_cuts=0 strict_parent_uncertified=False correlation=0.535265 shared_used=True shared_failed=False,6,0.535265,0.535265,medium,balanced,0.5,0.5,0.5,0.625,0.578947,0.541667,0.489059,native_overlap_induced,native_witness_overlap,0.535265,0.0,17,101,renewal,21,4,33
renewal_13,13,,101,orientation_degradation,0.5,4,0.5,2,at_least_k,independent_member,0.512692,11,True,True,True,False,False,True,True,False,False,True,True,False,False,True,True,True,False,0,11,0,1.0,0,0,0,False,5,5,0,,certification_state_supplied_separately,independent_member domain=11 uncertified_family_cuts=11 strict_parent_uncertified=True correlation=0.512692 shared_used=True shared_failed=True,55,0.512692,0.512692,medium,balanced,0.436364,0.436364,0.436364,0.663312,0.582857,0.533774,0.538329,native_overlap_induced,native_witness_overlap,0.512692,0.06666666666666667,17,101,renewal,13,11,33
renewal_13,13,,101,orientation_degradation,0.5,4,0.5,2,augmented_exact_k,independent_member,0.425984,7,True,True,True,True,True,False,False,False,True,True,False,False,True,True,False,True,False,0,0,7,0.0,0,0,0,False,5,5,0,0,certification_state_supplied_separately,independent_member domain=7 uncertified_family_cuts=0 strict_parent_uncertified=False correlation=0.425984 shared_used=True shared_failed=False,21,0.425984,0.425984,medium,balanced,0.333333,0.333333,0.333333,0.610544,0.502948,0.448581,0.469258,native_overlap_induced,native_witness_overlap,0.425984,0.06060606060606061,17,101,renewal,13,7,33
renewal_1,1,,101,selector_stress,0.5,1,0.5,1,at_least_k,independent_member,1.0,1,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,0,0,1,0.0,0,0,0,True,0,0,0,0,selector_stress=True,no_certification_stress,0,1.0,1.0,high,balanced,1.0,1.0,1.0,1.0,1.0,1.0,1.0,native_overlap_induced,native_witness_overlap,1.0,0.0,17,101,renewal,1,1,33
renewal_1,1,,101,selector_stress,0.5,1,0.5,1,augmented_exact_k,independent_member,1.0,1,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,0,0,1,0.0,0,0,0,True,0,0,0,0,selector_stress=True,no_certification_stress,0,1.0,1.0,high,balanced,1.0,1.0,1.0,1.0,1.0,1.0,1.0,native_overlap_induced,native_witness_overlap,1.0,0.0,17,101,renewal,1,1,33
renewal_27,27,,101,selector_stress,0.5,2,0.5,1,at_least_k,independent_member,0.514906,3,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,0,0,3,0.0,0,0,0,True,,,0,0,selector_stress=True,no_certification_stress,3,0.514906,0.514906,medium,balanced,0.333333,0.333333,0.333333,0.733333,0.666667,0.666667,0.786325,native_overlap_induced,native_witness_overlap,0.514906,0.0,17,101,renewal,27,3,33
renewal_27,27,,101,selector_stress,0.5,2,0.5,1,augmented_exact_k,independent_member,0.514906,3,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,0,0,3,0.0,0,0,0,True,,,0,0,selector_stress=True,no_certification_stress,3,0.514906,0.514906,medium,balanced,0.333333,0.333333,0.333333,0.733333,0.666667,0.666667,0.786325,native_overlap_induced,native_witness_overlap,0.514906,0.0,17,101,renewal,27,3,33
renewal_18,18,,101,selector_stress,0.5,3,0.5,2,at_least_k,independent_member,0.557511,4,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,0,0,4,0.0,0,0,0,True,5,5,0,0,selector_stress=True,no_certification_stress,6,0.557511,0.557511,medium,balanced,0.5,0.5,0.5,0.714286,0.590909,0.55,0.537882,native_overlap_induced,native_witness_overlap,0.557511,0.0,17,101,renewal,18,4,33
renewal_18,18,,101,selector_stress,0.5,3,0.5,2,augmented_exact_k,independent_member,0.557511,4,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,0,0,4,0.0,0,0,0,True,5,5,0,0,selector_stress=True,no_certification_stress,6,0.557511,0.557511,medium,balanced,0.5,0.5,0.5,0.714286,0.590909,0.55,0.537882,native_overlap_induced,native_witness_overlap,0.557511,0.0,17,101,renewal,18,4,33
renewal_8,8,,101,selector_stress,0.5,4,0.5,2,at_least_k,independent_member,0.539431,11,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,0,0,11,0.0,0,0,0,True,5,5,0,0,selector_stress=True,no_certification_stress,55,0.539431,0.539431,medium,balanced,0.436364,0.436364,0.436364,0.693506,0.611429,0.611429,0.664703,native_overlap_induced,native_witness_overlap,0.539431,0.06666666666666667,17,101,renewal,8,11,33
renewal_8,8,,101,selector_stress,0.5,4,0.5,2,augmented_exact_k,independent_member,0.460237,7,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,0,0,7,0.0,0,0,0,True,5,5,0,0,selector_stress=True,no_certification_stress,21,0.460237,0.460237,medium,balanced,0.333333,0.333333,0.333333,0.646259,0.548299,0.548299,0.624391,native_overlap_induced,native_witness_overlap,0.460237,0.08333333333333333,17,101,renewal,8,7,33
renewal_2,2,,101,selector_stress,0.5,1,0.5,1,at_least_k,independent_member,1.0,1,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,0,0,1,0.0,0,0,0,True,5,5,0,0,selector_stress=True,no_certification_stress,0,1.0,1.0,high,balanced,1.0,1.0,1.0,1.0,1.0,1.0,1.0,native_overlap_induced,native_witness_overlap,1.0,0.0,17,101,renewal,2,1,33
renewal_2,2,,101,selector_stress,0.5,1,0.5,1,augmented_exact_k,independent_member,1.0,1,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,0,0,1,0.0,0,0,0,True,5,5,0,0,selector_stress=True,no_certification_stress,0,1.0,1.0,high,balanced,1.0,1.0,1.0,1.0,1.0,1.0,1.0,native_overlap_induced,native_witness_overlap,1.0,0.0,17,101,renewal,2,1,33
renewal_32,32,,101,selector_stress,0.5,2,0.5,1,at_least_k,independent_member,0.424364,3,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,0,0,3,0.0,0,0,0,True,,,0,0,selector_stress=True,no_certification_stress,3,0.424364,0.424364,medium,balanced,0.333333,0.333333,0.333333,0.555556,0.5,0.466667,0.554545,native_overlap_induced,native_witness_overlap,0.424364,0.0,17,101,renewal,32,3,33
renewal_32,32,,101,selector_stress,0.5,2,0.5,1,augmented_exact_k,independent_member,0.424364,3,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,0,0,3,0.0,0,0,0,True,,,0,0,selector_stress=True,no_certification_stress,3,0.424364,0.424364,medium,balanced,0.333333,0.333333,0.333333,0.555556,0.5,0.466667,0.554545,native_overlap_induced,native_witness_overlap,0.424364,0.0,17,101,renewal,32,3,33
renewal_21,21,,101,selector_stress,0.5,3,0.5,2,at_least_k,independent_member,0.535265,4,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,0,0,4,0.0,0,0,0,True,5,5,0,0,selector_stress=True,no_certification_stress,6,0.535265,0.535265,medium,balanced,0.5,0.5,0.5,0.625,0.578947,0.541667,0.489059,native_overlap_induced,native_witness_overlap,0.535265,0.0,17,101,renewal,21,4,33
renewal_21,21,,101,selector_stress,0.5,3,0.5,2,augmented_exact_k,independent_member,0.535265,4,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,0,0,4,0.0,0,0,0,True,5,5,0,0,selector_stress=True,no_certification_stress,6,0.535265,0.535265,medium,balanced,0.5,0.5,0.5,0.625,0.578947,0.541667,0.489059,native_overlap_induced,native_witness_overlap,0.535265,0.0,17,101,renewal,21,4,33
renewal_13,13,,101,selector_stress,0.5,4,0.5,2,at_least_k,independent_member,0.512692,11,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,0,0,11,0.0,0,0,0,True,5,5,0,0,selector_stress=True,no_certification_stress,55,0.512692,0.512692,medium,balanced,0.436364,0.436364,0.436364,0.663312,0.582857,0.533774,0.538329,native_overlap_induced,native_witness_overlap,0.512692,0.06666666666666667,17,101,renewal,13,11,33
renewal_13,13,,101,selector_stress,0.5,4,0.5,2,augmented_exact_k,independent_member,0.425984,7,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,0,0,7,0.0,0,0,0,True,5,5,0,0,selector_stress=True,no_certification_stress,21,0.425984,0.425984,medium,balanced,0.333333,0.333333,0.333333,0.610544,0.502948,0.448581,0.469258,native_overlap_induced,native_witness_overlap,0.425984,0.06060606060606061,17,101,renewal,13,7,33
renewal_1,1,,101,ledger_failure,0.5,1,0.5,1,at_least_k,independent_member,1.0,1,True,True,True,False,False,True,True,False,False,True,True,False,False,True,True,True,False,0,1,0,1.0,0,0,0,False,0,0,0,,certification_state_supplied_separately,independent_member domain=1 uncertified_family_cuts=1 strict_parent_uncertified=True correlation=1.0 shared_used=True shared_failed=True,0,1.0,1.0,high,balanced,1.0,1.0,1.0,1.0,1.0,1.0,1.0,native_overlap_induced,native_witness_overlap,1.0,0.0,18,101,renewal,1,1,33
renewal_1,1,,101,ledger_failure,0.5,1,0.5,1,augmented_exact_k,independent_member,1.0,1,True,True,True,False,False,True,True,False,False,True,True,False,False,True,True,True,False,0,1,0,1.0,0,0,0,False,0,0,0,,certification_state_supplied_separately,independent_member domain=1 uncertified_family_cuts=1 strict_parent_uncertified=True correlation=1.0 shared_used=True shared_failed=True,0,1.0,1.0,high,balanced,1.0,1.0,1.0,1.0,1.0,1.0,1.0,native_overlap_induced,native_witness_overlap,1.0,0.0,18,101,renewal,1,1,33
