mode,family_semantics,certification_regime,severity,threshold_fraction,support_width,parent_cut_in_family,samples,family_size_mean,certified_family_member_count_mean,uncertified_member_fraction_mean,strict_parent_loss_rate,family_internal_loss_rate,family_internal_survival_rate,family_internal_resilience_rate,metric_artifact_risk_rate
ledger_failure,at_least_k,cut_level,0.75,1.0,4,True,440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,0.25,1,True,1054,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,0.25,2,True,430,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,0.25,3,True,476,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,0.25,4,True,440,15.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,0.5,1,True,1054,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,0.5,2,True,430,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,0.5,3,True,476,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,0.5,4,True,440,11.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,0.75,1,True,1054,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,0.75,2,True,430,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,0.75,3,True,476,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,0.75,4,True,440,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,1.0,1,True,1054,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,1.0,2,True,430,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,1.0,3,True,476,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,cut_level,1.0,1.0,4,True,440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ledger_failure,at_least_k,parent_shared,0.25,0.25,1,True,1054,1.0,0.895636,0.104364,0.104364,0.104364,0.895636,0.895636,0.0
ledger_failure,at_least_k,parent_shared,0.25,0.25,2,True,430,3.0,2.42093,0.193023,0.193023,0.193023,0.806977,0.806977,0.0
ledger_failure,at_least_k,parent_shared,0.25,0.25,3,True,476,7.0,5.676471,0.189076,0.189076,0.189076,0.810924,0.810924,0.0
ledger_failure,at_least_k,parent_shared,0.25,0.25,4,True,440,15.0,11.659091,0.222727,0.222727,0.222727,0.777273,0.777273,0.0
ledger_failure,at_least_k,parent_shared,0.25,0.5,1,True,1054,1.0,0.895636,0.104364,0.104364,0.104364,0.895636,0.895636,0.0
ledger_failure,at_least_k,parent_shared,0.25,0.5,2,True,430,3.0,2.42093,0.193023,0.193023,0.193023,0.806977,0.806977,0.0
ledger_failure,at_least_k,parent_shared,0.25,0.5,3,True,476,4.0,3.243697,0.189076,0.189076,0.189076,0.810924,0.810924,0.0
ledger_failure,at_least_k,parent_shared,0.25,0.5,4,True,440,11.0,8.55,0.222727,0.222727,0.222727,0.777273,0.777273,0.0
ledger_failure,at_least_k,parent_shared,0.25,0.75,1,True,1054,1.0,0.895636,0.104364,0.104364,0.104364,0.895636,0.895636,0.0
ledger_failure,at_least_k,parent_shared,0.25,0.75,2,True,430,1.0,0.806977,0.193023,0.193023,0.193023,0.806977,0.806977,0.0
ledger_failure,at_least_k,parent_shared,0.25,0.75,3,True,476,1.0,0.810924,0.189076,0.189076,0.189076,0.810924,0.810924,0.0
ledger_failure,at_least_k,parent_shared,0.25,0.75,4,True,440,5.0,3.886364,0.222727,0.222727,0.222727,0.777273,0.777273,0.0
ledger_failure,at_least_k,parent_shared,0.25,1.0,1,True,1054,1.0,0.895636,0.104364,0.104364,0.104364,0.895636,0.895636,0.0
ledger_failure,at_least_k,parent_shared,0.25,1.0,2,True,430,1.0,0.806977,0.193023,0.193023,0.193023,0.806977,0.806977,0.0
ledger_failure,at_least_k,parent_shared,0.25,1.0,3,True,476,1.0,0.810924,0.189076,0.189076,0.189076,0.810924,0.810924,0.0
ledger_failure,at_least_k,parent_shared,0.25,1.0,4,True,440,1.0,0.777273,0.222727,0.222727,0.222727,0.777273,0.777273,0.0
ledger_failure,at_least_k,parent_shared,0.5,0.25,1,True,1054,1.0,0.381404,0.618596,0.618596,0.618596,0.381404,0.381404,0.0
ledger_failure,at_least_k,parent_shared,0.5,0.25,2,True,430,3.0,1.025581,0.65814,0.65814,0.65814,0.34186,0.34186,0.0
ledger_failure,at_least_k,parent_shared,0.5,0.25,3,True,476,7.0,4.485294,0.359244,0.359244,0.359244,0.640756,0.640756,0.0
ledger_failure,at_least_k,parent_shared,0.5,0.25,4,True,440,15.0,8.215909,0.452273,0.452273,0.452273,0.547727,0.547727,0.0
ledger_failure,at_least_k,parent_shared,0.5,0.5,1,True,1054,1.0,0.381404,0.618596,0.618596,0.618596,0.381404,0.381404,0.0
ledger_failure,at_least_k,parent_shared,0.5,0.5,2,True,430,3.0,1.025581,0.65814,0.65814,0.65814,0.34186,0.34186,0.0
ledger_failure,at_least_k,parent_shared,0.5,0.5,3,True,476,4.0,2.563025,0.359244,0.359244,0.359244,0.640756,0.640756,0.0
ledger_failure,at_least_k,parent_shared,0.5,0.5,4,True,440,11.0,6.025,0.452273,0.452273,0.452273,0.547727,0.547727,0.0
ledger_failure,at_least_k,parent_shared,0.5,0.75,1,True,1054,1.0,0.381404,0.618596,0.618596,0.618596,0.381404,0.381404,0.0
ledger_failure,at_least_k,parent_shared,0.5,0.75,2,True,430,1.0,0.34186,0.65814,0.65814,0.65814,0.34186,0.34186,0.0
ledger_failure,at_least_k,parent_shared,0.5,0.75,3,True,476,1.0,0.640756,0.359244,0.359244,0.359244,0.640756,0.640756,0.0
ledger_failure,at_least_k,parent_shared,0.5,0.75,4,True,440,5.0,2.738636,0.452273,0.452273,0.452273,0.547727,0.547727,0.0
ledger_failure,at_least_k,parent_shared,0.5,1.0,1,True,1054,1.0,0.381404,0.618596,0.618596,0.618596,0.381404,0.381404,0.0
