family_semantics,certification_regime,mode,severity,threshold_fraction,samples,support_width_count,mean_support_width,mean_family_size,strict_loss_rate,family_loss_rate,family_rescue_rate,no_worse_violation_rate,mean_loss_reduction_vs_strict,strict_cut_inclusion_rate,mean_uncertified_cut_count,mean_unavailable_support_count,mean_family_recovery_length
at_least_k,cut_level,support_delay,0.5,0.25,2400,4,2.125833,5.115,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.381667,2.0
at_least_k,cut_level,support_delay,0.5,0.5,2400,4,2.125833,3.786667,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.381667,2.0
at_least_k,cut_level,support_delay,0.5,0.75,2400,4,2.125833,1.733333,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.381667,
at_least_k,cut_level,support_delay,0.5,1.0,2400,4,2.125833,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.381667,
at_least_k,cut_level,support_delay,0.75,0.25,2400,4,2.125833,5.115,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.9425,4.0
at_least_k,cut_level,support_delay,0.75,0.5,2400,4,2.125833,3.786667,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.9425,
at_least_k,cut_level,support_delay,0.75,0.75,2400,4,2.125833,1.733333,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.9425,
at_least_k,cut_level,support_delay,0.75,1.0,2400,4,2.125833,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.9425,
at_least_k,cut_level,support_delay,1.0,0.25,2400,4,2.125833,5.115,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.125833,
at_least_k,cut_level,support_delay,1.0,0.5,2400,4,2.125833,3.786667,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.125833,
at_least_k,cut_level,support_delay,1.0,0.75,2400,4,2.125833,1.733333,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.125833,
at_least_k,cut_level,support_delay,1.0,1.0,2400,4,2.125833,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.125833,
at_least_k,parent_shared,edge_dropout,0.0,0.25,2400,4,2.125833,5.115,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,parent_shared,edge_dropout,0.0,0.5,2400,4,2.125833,3.786667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,parent_shared,edge_dropout,0.0,0.75,2400,4,2.125833,1.733333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,parent_shared,edge_dropout,0.0,1.0,2400,4,2.125833,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,parent_shared,edge_dropout,0.25,0.25,2400,4,2.125833,5.115,0.76125,0.403333,0.357917,0.0,0.357917,1.0,0.0,0.0,0.19
at_least_k,parent_shared,edge_dropout,0.25,0.5,2400,4,2.125833,3.786667,0.76125,0.439583,0.321667,0.0,0.321667,1.0,0.0,0.0,0.200951
at_least_k,parent_shared,edge_dropout,0.25,0.75,2400,4,2.125833,1.733333,0.76125,0.67625,0.085,0.0,0.085,1.0,0.0,0.0,0.269319
at_least_k,parent_shared,edge_dropout,0.25,1.0,2400,4,2.125833,1.0,0.76125,0.76125,0.0,0.0,0.0,1.0,0.0,0.0,0.300196
at_least_k,parent_shared,edge_dropout,0.5,0.25,2400,4,2.125833,5.115,0.814583,0.372917,0.441667,0.0,0.441667,1.0,0.0,0.0,0.12
at_least_k,parent_shared,edge_dropout,0.5,0.5,2400,4,2.125833,3.786667,0.814583,0.51375,0.300833,0.0,0.300833,1.0,0.0,0.0,0.18808
at_least_k,parent_shared,edge_dropout,0.5,0.75,2400,4,2.125833,1.733333,0.814583,0.769583,0.045,0.0,0.045,1.0,0.0,0.0,0.247569
at_least_k,parent_shared,edge_dropout,0.5,1.0,2400,4,2.125833,1.0,0.814583,0.814583,0.0,0.0,0.0,1.0,0.0,0.0,0.227649
at_least_k,parent_shared,edge_dropout,0.75,0.25,2400,4,2.125833,5.115,0.994167,0.685833,0.308333,0.0,0.308333,1.0,0.0,0.0,0.00875
at_least_k,parent_shared,edge_dropout,0.75,0.5,2400,4,2.125833,3.786667,0.994167,0.871667,0.1225,0.0,0.1225,1.0,0.0,0.0,0.15889
at_least_k,parent_shared,edge_dropout,0.75,0.75,2400,4,2.125833,1.733333,0.994167,0.991667,0.0025,0.0,0.0025,1.0,0.0,0.0,0.092643
at_least_k,parent_shared,edge_dropout,0.75,1.0,2400,4,2.125833,1.0,0.994167,0.994167,0.0,0.0,0.0,1.0,0.0,0.0,0.04537
at_least_k,parent_shared,edge_dropout,1.0,0.25,2400,4,2.125833,5.115,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,parent_shared,edge_dropout,1.0,0.5,2400,4,2.125833,3.786667,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.078042
at_least_k,parent_shared,edge_dropout,1.0,0.75,2400,4,2.125833,1.733333,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.032015
at_least_k,parent_shared,edge_dropout,1.0,1.0,2400,4,2.125833,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.013233
at_least_k,parent_shared,frontier_dropout,0.0,0.25,2400,4,2.125833,5.115,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,parent_shared,frontier_dropout,0.0,0.5,2400,4,2.125833,3.786667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,parent_shared,frontier_dropout,0.0,0.75,2400,4,2.125833,1.733333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,parent_shared,frontier_dropout,0.0,1.0,2400,4,2.125833,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,parent_shared,frontier_dropout,0.25,0.25,2400,4,2.125833,5.115,1.0,0.439167,0.560833,0.0,0.560833,1.0,0.0,1.0,0.0
at_least_k,parent_shared,frontier_dropout,0.25,0.5,2400,4,2.125833,3.786667,1.0,0.439167,0.560833,0.0,0.560833,1.0,0.0,1.0,0.0
at_least_k,parent_shared,frontier_dropout,0.25,0.75,2400,4,2.125833,1.733333,1.0,0.816667,0.183333,0.0,0.183333,1.0,0.0,1.0,0.0
at_least_k,parent_shared,frontier_dropout,0.25,1.0,2400,4,2.125833,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,
at_least_k,parent_shared,frontier_dropout,0.5,0.25,2400,4,2.125833,5.115,1.0,0.439167,0.560833,0.0,0.560833,1.0,0.0,1.381667,0.0
