motif,site,seed,mode,severity,support_width,threshold_fraction,threshold_k,family_semantics,certification_regime,family_size,family_includes_strict_cut,strict_before_ready,family_before_ready,strict_after_ready,family_after_ready,strict_lost_readiness,family_lost_readiness,family_rescues_strict_loss,no_worse_violation,loss_reduction_vs_strict,strict_finality_depth_before,strict_finality_depth_after,strict_recovery_length,family_recovery_length,unavailable_support_count,uncertified_cut_count,affected_edge_count,intervention_detail,run_seed
renewal_27,27,101,edge_dropout,0.0,2,1.0,2,augmented_exact_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_27,27,101,edge_dropout,0.0,2,0.75,2,exact_k,cut_level,1,True,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_27,27,101,edge_dropout,0.0,2,0.75,2,exact_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_27,27,101,edge_dropout,0.0,2,0.75,2,at_least_k,cut_level,1,True,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_27,27,101,edge_dropout,0.0,2,0.75,2,at_least_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_27,27,101,edge_dropout,0.0,2,0.75,2,augmented_exact_k,cut_level,1,True,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_27,27,101,edge_dropout,0.0,2,0.75,2,augmented_exact_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_27,27,101,edge_dropout,0.0,2,0.5,1,exact_k,cut_level,2,False,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_27,27,101,edge_dropout,0.0,2,0.5,1,exact_k,parent_shared,2,False,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_27,27,101,edge_dropout,0.0,2,0.5,1,at_least_k,cut_level,3,True,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_27,27,101,edge_dropout,0.0,2,0.5,1,at_least_k,parent_shared,3,True,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_27,27,101,edge_dropout,0.0,2,0.5,1,augmented_exact_k,cut_level,3,True,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_27,27,101,edge_dropout,0.0,2,0.5,1,augmented_exact_k,parent_shared,3,True,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_27,27,101,edge_dropout,0.0,2,0.25,1,exact_k,cut_level,2,False,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_27,27,101,edge_dropout,0.0,2,0.25,1,exact_k,parent_shared,2,False,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_27,27,101,edge_dropout,0.0,2,0.25,1,at_least_k,cut_level,3,True,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_27,27,101,edge_dropout,0.0,2,0.25,1,at_least_k,parent_shared,3,True,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_27,27,101,edge_dropout,0.0,2,0.25,1,augmented_exact_k,cut_level,3,True,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_27,27,101,edge_dropout,0.0,2,0.25,1,augmented_exact_k,parent_shared,3,True,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_18,18,101,edge_dropout,0.0,3,1.0,3,exact_k,cut_level,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_18,18,101,edge_dropout,0.0,3,1.0,3,exact_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_18,18,101,edge_dropout,0.0,3,1.0,3,at_least_k,cut_level,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_18,18,101,edge_dropout,0.0,3,1.0,3,at_least_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_18,18,101,edge_dropout,0.0,3,1.0,3,augmented_exact_k,cut_level,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_18,18,101,edge_dropout,0.0,3,1.0,3,augmented_exact_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_18,18,101,edge_dropout,0.0,3,0.75,3,exact_k,cut_level,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_18,18,101,edge_dropout,0.0,3,0.75,3,exact_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_18,18,101,edge_dropout,0.0,3,0.75,3,at_least_k,cut_level,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_18,18,101,edge_dropout,0.0,3,0.75,3,at_least_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_18,18,101,edge_dropout,0.0,3,0.75,3,augmented_exact_k,cut_level,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_18,18,101,edge_dropout,0.0,3,0.75,3,augmented_exact_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_18,18,101,edge_dropout,0.0,3,0.5,2,exact_k,cut_level,3,False,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_18,18,101,edge_dropout,0.0,3,0.5,2,exact_k,parent_shared,3,False,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_18,18,101,edge_dropout,0.0,3,0.5,2,at_least_k,cut_level,4,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_18,18,101,edge_dropout,0.0,3,0.5,2,at_least_k,parent_shared,4,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_18,18,101,edge_dropout,0.0,3,0.5,2,augmented_exact_k,cut_level,4,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_18,18,101,edge_dropout,0.0,3,0.5,2,augmented_exact_k,parent_shared,4,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_18,18,101,edge_dropout,0.0,3,0.25,1,exact_k,cut_level,3,False,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_18,18,101,edge_dropout,0.0,3,0.25,1,exact_k,parent_shared,3,False,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_18,18,101,edge_dropout,0.0,3,0.25,1,at_least_k,cut_level,7,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_18,18,101,edge_dropout,0.0,3,0.25,1,at_least_k,parent_shared,7,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_18,18,101,edge_dropout,0.0,3,0.25,1,augmented_exact_k,cut_level,4,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_18,18,101,edge_dropout,0.0,3,0.25,1,augmented_exact_k,parent_shared,4,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_8,8,101,edge_dropout,0.0,4,1.0,4,exact_k,cut_level,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_8,8,101,edge_dropout,0.0,4,1.0,4,exact_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_8,8,101,edge_dropout,0.0,4,1.0,4,at_least_k,cut_level,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_8,8,101,edge_dropout,0.0,4,1.0,4,at_least_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_8,8,101,edge_dropout,0.0,4,1.0,4,augmented_exact_k,cut_level,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_8,8,101,edge_dropout,0.0,4,1.0,4,augmented_exact_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_8,8,101,edge_dropout,0.0,4,0.75,3,exact_k,cut_level,4,False,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_8,8,101,edge_dropout,0.0,4,0.75,3,exact_k,parent_shared,4,False,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_8,8,101,edge_dropout,0.0,4,0.75,3,at_least_k,cut_level,5,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_8,8,101,edge_dropout,0.0,4,0.75,3,at_least_k,parent_shared,5,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_8,8,101,edge_dropout,0.0,4,0.75,3,augmented_exact_k,cut_level,5,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_8,8,101,edge_dropout,0.0,4,0.75,3,augmented_exact_k,parent_shared,5,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_8,8,101,edge_dropout,0.0,4,0.5,2,exact_k,cut_level,6,False,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_8,8,101,edge_dropout,0.0,4,0.5,2,exact_k,parent_shared,6,False,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_8,8,101,edge_dropout,0.0,4,0.5,2,at_least_k,cut_level,11,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_8,8,101,edge_dropout,0.0,4,0.5,2,at_least_k,parent_shared,11,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_8,8,101,edge_dropout,0.0,4,0.5,2,augmented_exact_k,cut_level,7,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_8,8,101,edge_dropout,0.0,4,0.5,2,augmented_exact_k,parent_shared,7,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_8,8,101,edge_dropout,0.0,4,0.25,1,exact_k,cut_level,4,False,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_8,8,101,edge_dropout,0.0,4,0.25,1,exact_k,parent_shared,4,False,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_8,8,101,edge_dropout,0.0,4,0.25,1,at_least_k,cut_level,15,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_8,8,101,edge_dropout,0.0,4,0.25,1,at_least_k,parent_shared,15,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_8,8,101,edge_dropout,0.0,4,0.25,1,augmented_exact_k,cut_level,5,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_8,8,101,edge_dropout,0.0,4,0.25,1,augmented_exact_k,parent_shared,5,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_2,2,101,edge_dropout,0.0,1,1.0,1,exact_k,cut_level,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_2,2,101,edge_dropout,0.0,1,1.0,1,exact_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_2,2,101,edge_dropout,0.0,1,1.0,1,at_least_k,cut_level,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_2,2,101,edge_dropout,0.0,1,1.0,1,at_least_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_2,2,101,edge_dropout,0.0,1,1.0,1,augmented_exact_k,cut_level,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_2,2,101,edge_dropout,0.0,1,1.0,1,augmented_exact_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_2,2,101,edge_dropout,0.0,1,0.75,1,exact_k,cut_level,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_2,2,101,edge_dropout,0.0,1,0.75,1,exact_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_2,2,101,edge_dropout,0.0,1,0.75,1,at_least_k,cut_level,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_2,2,101,edge_dropout,0.0,1,0.75,1,at_least_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_2,2,101,edge_dropout,0.0,1,0.75,1,augmented_exact_k,cut_level,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_2,2,101,edge_dropout,0.0,1,0.75,1,augmented_exact_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_2,2,101,edge_dropout,0.0,1,0.5,1,exact_k,cut_level,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_2,2,101,edge_dropout,0.0,1,0.5,1,exact_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_2,2,101,edge_dropout,0.0,1,0.5,1,at_least_k,cut_level,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_2,2,101,edge_dropout,0.0,1,0.5,1,at_least_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_2,2,101,edge_dropout,0.0,1,0.5,1,augmented_exact_k,cut_level,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_2,2,101,edge_dropout,0.0,1,0.5,1,augmented_exact_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_2,2,101,edge_dropout,0.0,1,0.25,1,exact_k,cut_level,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_2,2,101,edge_dropout,0.0,1,0.25,1,exact_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_2,2,101,edge_dropout,0.0,1,0.25,1,at_least_k,cut_level,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_2,2,101,edge_dropout,0.0,1,0.25,1,at_least_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_2,2,101,edge_dropout,0.0,1,0.25,1,augmented_exact_k,cut_level,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_2,2,101,edge_dropout,0.0,1,0.25,1,augmented_exact_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_32,32,101,edge_dropout,0.0,2,1.0,2,exact_k,cut_level,1,True,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_32,32,101,edge_dropout,0.0,2,1.0,2,exact_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_32,32,101,edge_dropout,0.0,2,1.0,2,at_least_k,cut_level,1,True,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_32,32,101,edge_dropout,0.0,2,1.0,2,at_least_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_32,32,101,edge_dropout,0.0,2,1.0,2,augmented_exact_k,cut_level,1,True,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_32,32,101,edge_dropout,0.0,2,1.0,2,augmented_exact_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_32,32,101,edge_dropout,0.0,2,0.75,2,exact_k,cut_level,1,True,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_32,32,101,edge_dropout,0.0,2,0.75,2,exact_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_32,32,101,edge_dropout,0.0,2,0.75,2,at_least_k,cut_level,1,True,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_32,32,101,edge_dropout,0.0,2,0.75,2,at_least_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_32,32,101,edge_dropout,0.0,2,0.75,2,augmented_exact_k,cut_level,1,True,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_32,32,101,edge_dropout,0.0,2,0.75,2,augmented_exact_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_32,32,101,edge_dropout,0.0,2,0.5,1,exact_k,cut_level,2,False,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_32,32,101,edge_dropout,0.0,2,0.5,1,exact_k,parent_shared,2,False,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_32,32,101,edge_dropout,0.0,2,0.5,1,at_least_k,cut_level,3,True,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_32,32,101,edge_dropout,0.0,2,0.5,1,at_least_k,parent_shared,3,True,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_32,32,101,edge_dropout,0.0,2,0.5,1,augmented_exact_k,cut_level,3,True,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_32,32,101,edge_dropout,0.0,2,0.5,1,augmented_exact_k,parent_shared,3,True,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_32,32,101,edge_dropout,0.0,2,0.25,1,exact_k,cut_level,2,False,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_32,32,101,edge_dropout,0.0,2,0.25,1,exact_k,parent_shared,2,False,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_32,32,101,edge_dropout,0.0,2,0.25,1,at_least_k,cut_level,3,True,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_32,32,101,edge_dropout,0.0,2,0.25,1,at_least_k,parent_shared,3,True,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_32,32,101,edge_dropout,0.0,2,0.25,1,augmented_exact_k,cut_level,3,True,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_32,32,101,edge_dropout,0.0,2,0.25,1,augmented_exact_k,parent_shared,3,True,True,True,True,True,False,False,False,False,0,,,0,0,0,0,0,removed_edges=[],17
renewal_21,21,101,edge_dropout,0.0,3,1.0,3,exact_k,cut_level,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_21,21,101,edge_dropout,0.0,3,1.0,3,exact_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_21,21,101,edge_dropout,0.0,3,1.0,3,at_least_k,cut_level,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_21,21,101,edge_dropout,0.0,3,1.0,3,at_least_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_21,21,101,edge_dropout,0.0,3,1.0,3,augmented_exact_k,cut_level,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_21,21,101,edge_dropout,0.0,3,1.0,3,augmented_exact_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_21,21,101,edge_dropout,0.0,3,0.75,3,exact_k,cut_level,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_21,21,101,edge_dropout,0.0,3,0.75,3,exact_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_21,21,101,edge_dropout,0.0,3,0.75,3,at_least_k,cut_level,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_21,21,101,edge_dropout,0.0,3,0.75,3,at_least_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_21,21,101,edge_dropout,0.0,3,0.75,3,augmented_exact_k,cut_level,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
renewal_21,21,101,edge_dropout,0.0,3,0.75,3,augmented_exact_k,parent_shared,1,True,True,True,True,True,False,False,False,False,0,5,5,0,0,0,0,0,removed_edges=[],17
