keying,mode,family_semantics,threshold_fraction,severity,support_width,family_size,rows,low_rows,high_rows,medium_rows,low_rescue_rate,high_rescue_rate,low_minus_high_gap,estimable_joint_stratum,min_rows_per_bin
incidence_role_signed,ledger_failure,augmented_exact_k,0.25,0.25,1,1,1581,1581,0,0,0.0,,,False,25
incidence_role_signed,ledger_failure,augmented_exact_k,0.25,0.25,2,3,645,0,645,0,,0.13178294573643412,,False,25
incidence_role_signed,ledger_failure,augmented_exact_k,0.25,0.25,3,4,714,0,714,0,,0.19467787114845939,,False,25
incidence_role_signed,ledger_failure,augmented_exact_k,0.25,0.25,4,5,660,0,0,660,,,,False,25
incidence_role_signed,ledger_failure,augmented_exact_k,0.25,0.5,1,1,1581,1581,0,0,0.0,,,False,25
incidence_role_signed,ledger_failure,augmented_exact_k,0.25,0.5,2,3,645,0,645,0,,0.2589147286821705,,False,25
incidence_role_signed,ledger_failure,augmented_exact_k,0.25,0.5,3,4,714,0,714,0,,0.29551820728291317,,False,25
incidence_role_signed,ledger_failure,augmented_exact_k,0.25,0.5,4,5,660,0,0,660,,,,False,25
incidence_role_signed,ledger_failure,augmented_exact_k,0.25,0.75,1,1,1581,1581,0,0,0.0,,,False,25
incidence_role_signed,ledger_failure,augmented_exact_k,0.25,0.75,2,3,645,0,645,0,,0.15503875968992248,,False,25
incidence_role_signed,ledger_failure,augmented_exact_k,0.25,0.75,3,4,714,0,714,0,,0.27871148459383754,,False,25
incidence_role_signed,ledger_failure,augmented_exact_k,0.25,0.75,4,5,660,0,0,660,,,,False,25
incidence_role_signed,orientation_degradation,augmented_exact_k,0.25,0.25,1,1,1581,1581,0,0,0.0,,,False,25
incidence_role_signed,orientation_degradation,augmented_exact_k,0.25,0.25,2,3,645,0,645,0,,0.14108527131782947,,False,25
incidence_role_signed,orientation_degradation,augmented_exact_k,0.25,0.25,3,4,714,0,714,0,,0.17647058823529413,,False,25
incidence_role_signed,orientation_degradation,augmented_exact_k,0.25,0.25,4,5,660,0,0,660,,,,False,25
incidence_role_signed,orientation_degradation,augmented_exact_k,0.25,0.5,1,1,1581,1581,0,0,0.0,,,False,25
incidence_role_signed,orientation_degradation,augmented_exact_k,0.25,0.5,2,3,645,0,645,0,,0.19069767441860466,,False,25
incidence_role_signed,orientation_degradation,augmented_exact_k,0.25,0.5,3,4,714,0,714,0,,0.27871148459383754,,False,25
incidence_role_signed,orientation_degradation,augmented_exact_k,0.25,0.5,4,5,660,0,0,660,,,,False,25
incidence_role_signed,orientation_degradation,augmented_exact_k,0.25,0.75,1,1,1581,1581,0,0,0.0,,,False,25
incidence_role_signed,orientation_degradation,augmented_exact_k,0.25,0.75,2,3,645,0,645,0,,0.17364341085271318,,False,25
incidence_role_signed,orientation_degradation,augmented_exact_k,0.25,0.75,3,4,714,0,714,0,,0.34593837535014005,,False,25
