keying,mode,family_semantics,support_width,orientation_bin,rows,rescue_rate,mean_family_size,mean_orientation_overlap
edge_direction_only,orientation_degradation,at_least_k,2,high,2268,0.15343915343915343,3.0,0.3333333333333333
edge_direction_only,orientation_degradation,at_least_k,2,low,1143,0.0,1.0,0.0
edge_direction_only,orientation_degradation,at_least_k,2,medium,2394,0.12698412698412698,2.338345864661654,0.22305764411027568
edge_direction_only,orientation_degradation,at_least_k,3,high,3438,0.2009889470622455,5.130890052356021,0.43717277486910994
edge_direction_only,orientation_degradation,at_least_k,3,low,1284,0.0,1.0,0.0
edge_direction_only,orientation_degradation,at_least_k,3,medium,1704,0.12793427230046947,3.9788732394366195,0.16549295774647887
edge_direction_only,orientation_degradation,at_least_k,4,high,5094,0.21652925009815469,9.558303886925795,0.47703180212014135
edge_direction_only,orientation_degradation,at_least_k,4,medium,846,0.3108747044917258,15.0,0.3333333333333333
edge_direction_only,orientation_degradation,augmented_exact_k,1,low,8373,0.0,1.0,0.0
edge_direction_only,orientation_degradation,augmented_exact_k,1,medium,5856,0.0,1.0,0.0
edge_direction_only,orientation_degradation,augmented_exact_k,2,high,3870,0.16847545219638244,3.0,0.33333333333333326
edge_direction_only,orientation_degradation,augmented_exact_k,2,low,1143,0.0,1.0,0.0
edge_direction_only,orientation_degradation,augmented_exact_k,2,medium,792,0.0,1.0,0.0
edge_direction_only,orientation_degradation,augmented_exact_k,3,high,2970,0.19663299663299663,4.0,0.4070707070707071
edge_direction_only,orientation_degradation,augmented_exact_k,3,low,1284,0.0,1.0,0.0
edge_direction_only,orientation_degradation,augmented_exact_k,3,medium,2172,0.15515653775322283,2.814917127071823,0.1008287292817679
edge_direction_only,orientation_degradation,augmented_exact_k,4,high,3960,0.20227272727272727,6.0,0.46666666666666656
edge_direction_only,orientation_degradation,augmented_exact_k,4,medium,1980,0.3181818181818182,5.0,0.10000000000000002
edge_direction_only,selector_stress,at_least_k,1,low,8373,0.0,1.0,0.0
edge_direction_only,selector_stress,at_least_k,1,medium,5856,0.0,1.0,0.0
edge_direction_only,selector_stress,at_least_k,2,high,2268,0.0,3.0,0.3333333333333333
edge_direction_only,selector_stress,at_least_k,2,low,1143,0.0,1.0,0.0
edge_direction_only,selector_stress,at_least_k,2,medium,2394,0.0,2.338345864661654,0.22305764411027568
edge_direction_only,selector_stress,at_least_k,3,high,3438,0.0,5.130890052356021,0.43717277486910994
edge_direction_only,selector_stress,at_least_k,3,low,1284,0.0,1.0,0.0
edge_direction_only,selector_stress,at_least_k,3,medium,1704,0.0,3.9788732394366195,0.16549295774647887
edge_direction_only,selector_stress,at_least_k,4,high,5094,0.0,9.558303886925795,0.47703180212014135
edge_direction_only,selector_stress,at_least_k,4,medium,846,0.0,15.0,0.3333333333333333
edge_direction_only,selector_stress,augmented_exact_k,1,low,8373,0.0,1.0,0.0
edge_direction_only,selector_stress,augmented_exact_k,1,medium,5856,0.0,1.0,0.0
edge_direction_only,selector_stress,augmented_exact_k,2,high,3870,0.0,3.0,0.33333333333333326
edge_direction_only,selector_stress,augmented_exact_k,2,low,1143,0.0,1.0,0.0
edge_direction_only,selector_stress,augmented_exact_k,2,medium,792,0.0,1.0,0.0
edge_direction_only,selector_stress,augmented_exact_k,3,high,2970,0.0,4.0,0.4070707070707071
edge_direction_only,selector_stress,augmented_exact_k,3,low,1284,0.0,1.0,0.0
edge_direction_only,selector_stress,augmented_exact_k,3,medium,2172,0.0,2.814917127071823,0.1008287292817679
edge_direction_only,selector_stress,augmented_exact_k,4,high,3960,0.0,6.0,0.46666666666666656
edge_direction_only,selector_stress,augmented_exact_k,4,medium,1980,0.0,5.0,0.10000000000000002
edge_pair_signed_no_member,ledger_failure,at_least_k,1,low,8373,0.0,1.0,0.0
edge_pair_signed_no_member,ledger_failure,at_least_k,1,medium,5856,0.0,1.0,0.0
edge_pair_signed_no_member,ledger_failure,at_least_k,2,high,2268,0.1746031746031746,3.0,0.3333333333333333
edge_pair_signed_no_member,ledger_failure,at_least_k,2,low,1143,0.0,1.0,0.0
edge_pair_signed_no_member,ledger_failure,at_least_k,2,medium,2394,0.1286549707602339,2.338345864661654,0.22305764411027568
edge_pair_signed_no_member,ledger_failure,at_least_k,3,high,3438,0.18819080860965678,5.130890052356021,0.43717277486910994
edge_pair_signed_no_member,ledger_failure,at_least_k,3,low,1284,0.0,1.0,0.0
edge_pair_signed_no_member,ledger_failure,at_least_k,3,medium,1704,0.13145539906103287,3.9788732394366195,0.16549295774647887
edge_pair_signed_no_member,ledger_failure,at_least_k,4,high,5094,0.21299568119356105,9.558303886925795,0.47703180212014135
edge_pair_signed_no_member,ledger_failure,at_least_k,4,medium,846,0.2765957446808511,15.0,0.3333333333333333
edge_pair_signed_no_member,ledger_failure,augmented_exact_k,1,low,8373,0.0,1.0,0.0
edge_pair_signed_no_member,ledger_failure,augmented_exact_k,1,medium,5856,0.0,1.0,0.0
edge_pair_signed_no_member,ledger_failure,augmented_exact_k,2,high,3870,0.18191214470284237,3.0,0.33333333333333326
edge_pair_signed_no_member,ledger_failure,augmented_exact_k,2,low,1143,0.0,1.0,0.0
edge_pair_signed_no_member,ledger_failure,augmented_exact_k,2,medium,792,0.0,1.0,0.0
edge_pair_signed_no_member,ledger_failure,augmented_exact_k,3,high,2970,0.1750841750841751,4.0,0.4070707070707071
edge_pair_signed_no_member,ledger_failure,augmented_exact_k,3,low,1284,0.0,1.0,0.0
edge_pair_signed_no_member,ledger_failure,augmented_exact_k,3,medium,2172,0.15331491712707182,2.814917127071823,0.1008287292817679
edge_pair_signed_no_member,ledger_failure,augmented_exact_k,4,high,3960,0.20025252525252527,6.0,0.46666666666666656
edge_pair_signed_no_member,ledger_failure,augmented_exact_k,4,medium,1980,0.33434343434343433,5.0,0.10000000000000002
edge_pair_signed_no_member,orientation_degradation,at_least_k,1,low,8373,0.0,1.0,0.0
edge_pair_signed_no_member,orientation_degradation,at_least_k,1,medium,5856,0.0,1.0,0.0
edge_pair_signed_no_member,orientation_degradation,at_least_k,2,high,2268,0.15343915343915343,3.0,0.3333333333333333
edge_pair_signed_no_member,orientation_degradation,at_least_k,2,low,1143,0.0,1.0,0.0
edge_pair_signed_no_member,orientation_degradation,at_least_k,2,medium,2394,0.12698412698412698,2.338345864661654,0.22305764411027568
edge_pair_signed_no_member,orientation_degradation,at_least_k,3,high,3438,0.2009889470622455,5.130890052356021,0.43717277486910994
edge_pair_signed_no_member,orientation_degradation,at_least_k,3,low,1284,0.0,1.0,0.0
edge_pair_signed_no_member,orientation_degradation,at_least_k,3,medium,1704,0.12793427230046947,3.9788732394366195,0.16549295774647887
edge_pair_signed_no_member,orientation_degradation,at_least_k,4,high,5094,0.21652925009815469,9.558303886925795,0.47703180212014135
edge_pair_signed_no_member,orientation_degradation,at_least_k,4,medium,846,0.3108747044917258,15.0,0.3333333333333333
edge_pair_signed_no_member,orientation_degradation,augmented_exact_k,1,low,8373,0.0,1.0,0.0
edge_pair_signed_no_member,orientation_degradation,augmented_exact_k,1,medium,5856,0.0,1.0,0.0
edge_pair_signed_no_member,orientation_degradation,augmented_exact_k,2,high,3870,0.16847545219638244,3.0,0.33333333333333326
edge_pair_signed_no_member,orientation_degradation,augmented_exact_k,2,low,1143,0.0,1.0,0.0
edge_pair_signed_no_member,orientation_degradation,augmented_exact_k,2,medium,792,0.0,1.0,0.0
edge_pair_signed_no_member,orientation_degradation,augmented_exact_k,3,high,2970,0.19663299663299663,4.0,0.4070707070707071
edge_pair_signed_no_member,orientation_degradation,augmented_exact_k,3,low,1284,0.0,1.0,0.0
edge_pair_signed_no_member,orientation_degradation,augmented_exact_k,3,medium,2172,0.15515653775322283,2.814917127071823,0.1008287292817679
edge_pair_signed_no_member,orientation_degradation,augmented_exact_k,4,high,3960,0.20227272727272727,6.0,0.46666666666666656
edge_pair_signed_no_member,orientation_degradation,augmented_exact_k,4,medium,1980,0.3181818181818182,5.0,0.10000000000000002
edge_pair_signed_no_member,selector_stress,at_least_k,1,low,8373,0.0,1.0,0.0
edge_pair_signed_no_member,selector_stress,at_least_k,1,medium,5856,0.0,1.0,0.0
edge_pair_signed_no_member,selector_stress,at_least_k,2,high,2268,0.0,3.0,0.3333333333333333
edge_pair_signed_no_member,selector_stress,at_least_k,2,low,1143,0.0,1.0,0.0
edge_pair_signed_no_member,selector_stress,at_least_k,2,medium,2394,0.0,2.338345864661654,0.22305764411027568
edge_pair_signed_no_member,selector_stress,at_least_k,3,high,3438,0.0,5.130890052356021,0.43717277486910994
edge_pair_signed_no_member,selector_stress,at_least_k,3,low,1284,0.0,1.0,0.0
