family_semantics,certification_regime,mode,severity,threshold_fraction,certificate_correlation,samples,support_width_count,mean_support_width,mean_family_size,parent_in_family_rate,strict_parent_loss_rate,family_internal_loss_rate,strict_rescue_rate,family_internal_survival_rate,strict_parent_cert_failure_rate,certification_rescue_rate,family_certification_resilience_rate,comparison_valid_rate,metric_artifact_risk_rate,mean_apples_to_apples_loss_delta,mean_certified_family_member_count,mean_uncertified_family_member_fraction
at_least_k,parent_shared,orientation_degradation,0.75,1.0,0.5,2400,4,2.125833,1.0,1.0,0.846667,0.846667,0.0,0.153333,0.846667,0.0,0.153333,1.0,0.0,0.0,0.153333,0.846667
at_least_k,parent_shared,orientation_degradation,0.75,1.0,0.75,2400,4,2.125833,1.0,1.0,0.772917,0.772917,0.0,0.227083,0.772917,0.0,0.227083,1.0,0.0,0.0,0.227083,0.772917
at_least_k,parent_shared,orientation_degradation,0.75,1.0,1.0,2400,4,2.125833,1.0,1.0,0.729583,0.729583,0.0,0.270417,0.729583,0.0,0.270417,1.0,0.0,0.0,0.270417,0.729583
at_least_k,parent_shared,orientation_degradation,1.0,0.25,0.0,2400,4,2.125833,5.115,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,parent_shared,orientation_degradation,1.0,0.25,0.25,2400,4,2.125833,5.115,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,parent_shared,orientation_degradation,1.0,0.25,0.5,2400,4,2.125833,5.115,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,parent_shared,orientation_degradation,1.0,0.25,0.75,2400,4,2.125833,5.115,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,parent_shared,orientation_degradation,1.0,0.25,1.0,2400,4,2.125833,5.115,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,parent_shared,orientation_degradation,1.0,0.5,0.0,2400,4,2.125833,3.786667,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,parent_shared,orientation_degradation,1.0,0.5,0.25,2400,4,2.125833,3.786667,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,parent_shared,orientation_degradation,1.0,0.5,0.5,2400,4,2.125833,3.786667,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,parent_shared,orientation_degradation,1.0,0.5,0.75,2400,4,2.125833,3.786667,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,parent_shared,orientation_degradation,1.0,0.5,1.0,2400,4,2.125833,3.786667,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,parent_shared,orientation_degradation,1.0,0.75,0.0,2400,4,2.125833,1.733333,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,parent_shared,orientation_degradation,1.0,0.75,0.25,2400,4,2.125833,1.733333,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,parent_shared,orientation_degradation,1.0,0.75,0.5,2400,4,2.125833,1.733333,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,parent_shared,orientation_degradation,1.0,0.75,0.75,2400,4,2.125833,1.733333,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,parent_shared,orientation_degradation,1.0,0.75,1.0,2400,4,2.125833,1.733333,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,parent_shared,orientation_degradation,1.0,1.0,0.0,2400,4,2.125833,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,parent_shared,orientation_degradation,1.0,1.0,0.25,2400,4,2.125833,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,parent_shared,orientation_degradation,1.0,1.0,0.5,2400,4,2.125833,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,parent_shared,orientation_degradation,1.0,1.0,0.75,2400,4,2.125833,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,parent_shared,orientation_degradation,1.0,1.0,1.0,2400,4,2.125833,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,parent_shared,selector_stress,0.0,0.25,0.0,2400,4,2.125833,5.115,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.115,0.0
at_least_k,parent_shared,selector_stress,0.0,0.5,0.0,2400,4,2.125833,3.786667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.786667,0.0
at_least_k,parent_shared,selector_stress,0.0,0.75,0.0,2400,4,2.125833,1.733333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.733333,0.0
at_least_k,parent_shared,selector_stress,0.0,1.0,0.0,2400,4,2.125833,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
at_least_k,parent_shared,selector_stress,0.25,0.25,0.0,2400,4,2.125833,5.115,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.115,0.0
at_least_k,parent_shared,selector_stress,0.25,0.5,0.0,2400,4,2.125833,3.786667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.786667,0.0
at_least_k,parent_shared,selector_stress,0.25,0.75,0.0,2400,4,2.125833,1.733333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.733333,0.0
at_least_k,parent_shared,selector_stress,0.25,1.0,0.0,2400,4,2.125833,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
at_least_k,parent_shared,selector_stress,0.5,0.25,0.0,2400,4,2.125833,5.115,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.115,0.0
at_least_k,parent_shared,selector_stress,0.5,0.5,0.0,2400,4,2.125833,3.786667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.786667,0.0
at_least_k,parent_shared,selector_stress,0.5,0.75,0.0,2400,4,2.125833,1.733333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.733333,0.0
at_least_k,parent_shared,selector_stress,0.5,1.0,0.0,2400,4,2.125833,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
at_least_k,parent_shared,selector_stress,0.75,0.25,0.0,2400,4,2.125833,5.115,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.115,0.0
at_least_k,parent_shared,selector_stress,0.75,0.5,0.0,2400,4,2.125833,3.786667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.786667,0.0
at_least_k,parent_shared,selector_stress,0.75,0.75,0.0,2400,4,2.125833,1.733333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.733333,0.0
at_least_k,parent_shared,selector_stress,0.75,1.0,0.0,2400,4,2.125833,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
at_least_k,parent_shared,selector_stress,1.0,0.25,0.0,2400,4,2.125833,5.115,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.115,0.0
at_least_k,parent_shared,selector_stress,1.0,0.5,0.0,2400,4,2.125833,3.786667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.786667,0.0
at_least_k,parent_shared,selector_stress,1.0,0.75,0.0,2400,4,2.125833,1.733333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.733333,0.0
at_least_k,parent_shared,selector_stress,1.0,1.0,0.0,2400,4,2.125833,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
at_least_k,parent_shared,support_delay,0.0,0.25,0.0,2400,4,2.125833,5.115,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.115,0.0
at_least_k,parent_shared,support_delay,0.0,0.5,0.0,2400,4,2.125833,3.786667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.786667,0.0
at_least_k,parent_shared,support_delay,0.0,0.75,0.0,2400,4,2.125833,1.733333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.733333,0.0
at_least_k,parent_shared,support_delay,0.0,1.0,0.0,2400,4,2.125833,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
at_least_k,parent_shared,support_delay,0.25,0.25,0.0,2400,4,2.125833,5.115,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.115,0.0
at_least_k,parent_shared,support_delay,0.25,0.5,0.0,2400,4,2.125833,3.786667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.786667,0.0
at_least_k,parent_shared,support_delay,0.25,0.75,0.0,2400,4,2.125833,1.733333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.733333,0.0
at_least_k,parent_shared,support_delay,0.25,1.0,0.0,2400,4,2.125833,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
at_least_k,parent_shared,support_delay,0.5,0.25,0.0,2400,4,2.125833,5.115,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.115,0.0
at_least_k,parent_shared,support_delay,0.5,0.5,0.0,2400,4,2.125833,3.786667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.786667,0.0
at_least_k,parent_shared,support_delay,0.5,0.75,0.0,2400,4,2.125833,1.733333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.733333,0.0
at_least_k,parent_shared,support_delay,0.5,1.0,0.0,2400,4,2.125833,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
at_least_k,parent_shared,support_delay,0.75,0.25,0.0,2400,4,2.125833,5.115,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.115,0.0
at_least_k,parent_shared,support_delay,0.75,0.5,0.0,2400,4,2.125833,3.786667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.786667,0.0
at_least_k,parent_shared,support_delay,0.75,0.75,0.0,2400,4,2.125833,1.733333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.733333,0.0
at_least_k,parent_shared,support_delay,0.75,1.0,0.0,2400,4,2.125833,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
at_least_k,parent_shared,support_delay,1.0,0.25,0.0,2400,4,2.125833,5.115,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.115,0.0
at_least_k,parent_shared,support_delay,1.0,0.5,0.0,2400,4,2.125833,3.786667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.786667,0.0
at_least_k,parent_shared,support_delay,1.0,0.75,0.0,2400,4,2.125833,1.733333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.733333,0.0
at_least_k,parent_shared,support_delay,1.0,1.0,0.0,2400,4,2.125833,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
augmented_exact_k,cut_level,edge_dropout,0.0,0.25,0.0,2400,4,2.125833,2.686667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.686667,0.0
augmented_exact_k,cut_level,edge_dropout,0.0,0.5,0.0,2400,4,2.125833,3.053333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.053333,0.0
augmented_exact_k,cut_level,edge_dropout,0.0,0.75,0.0,2400,4,2.125833,1.733333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.733333,0.0
augmented_exact_k,cut_level,edge_dropout,0.0,1.0,0.0,2400,4,2.125833,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
augmented_exact_k,cut_level,edge_dropout,0.25,0.25,0.0,2400,4,2.125833,2.686667,1.0,0.76125,0.403333,0.357917,0.596667,0.0,0.0,0.0,1.0,0.0,-0.357917,2.686667,0.0
augmented_exact_k,cut_level,edge_dropout,0.25,0.5,0.0,2400,4,2.125833,3.053333,1.0,0.76125,0.439583,0.321667,0.560417,0.0,0.0,0.0,1.0,0.0,-0.321667,3.053333,0.0
augmented_exact_k,cut_level,edge_dropout,0.25,0.75,0.0,2400,4,2.125833,1.733333,1.0,0.76125,0.67625,0.085,0.32375,0.0,0.0,0.0,1.0,0.0,-0.085,1.733333,0.0
augmented_exact_k,cut_level,edge_dropout,0.25,1.0,0.0,2400,4,2.125833,1.0,1.0,0.76125,0.76125,0.0,0.23875,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
augmented_exact_k,cut_level,edge_dropout,0.5,0.25,0.0,2400,4,2.125833,2.686667,1.0,0.814583,0.372917,0.441667,0.627083,0.0,0.0,0.0,1.0,0.0,-0.441667,2.686667,0.0
augmented_exact_k,cut_level,edge_dropout,0.5,0.5,0.0,2400,4,2.125833,3.053333,1.0,0.814583,0.51375,0.300833,0.48625,0.0,0.0,0.0,1.0,0.0,-0.300833,3.053333,0.0
augmented_exact_k,cut_level,edge_dropout,0.5,0.75,0.0,2400,4,2.125833,1.733333,1.0,0.814583,0.769583,0.045,0.230417,0.0,0.0,0.0,1.0,0.0,-0.045,1.733333,0.0
augmented_exact_k,cut_level,edge_dropout,0.5,1.0,0.0,2400,4,2.125833,1.0,1.0,0.814583,0.814583,0.0,0.185417,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
augmented_exact_k,cut_level,edge_dropout,0.75,0.25,0.0,2400,4,2.125833,2.686667,1.0,0.994167,0.685833,0.308333,0.314167,0.0,0.0,0.0,1.0,0.0,-0.308333,2.686667,0.0
augmented_exact_k,cut_level,edge_dropout,0.75,0.5,0.0,2400,4,2.125833,3.053333,1.0,0.994167,0.871667,0.1225,0.128333,0.0,0.0,0.0,1.0,0.0,-0.1225,3.053333,0.0
augmented_exact_k,cut_level,edge_dropout,0.75,0.75,0.0,2400,4,2.125833,1.733333,1.0,0.994167,0.991667,0.0025,0.008333,0.0,0.0,0.0,1.0,0.0,-0.0025,1.733333,0.0
augmented_exact_k,cut_level,edge_dropout,0.75,1.0,0.0,2400,4,2.125833,1.0,1.0,0.994167,0.994167,0.0,0.005833,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
augmented_exact_k,cut_level,edge_dropout,1.0,0.25,0.0,2400,4,2.125833,2.686667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.686667,0.0
augmented_exact_k,cut_level,edge_dropout,1.0,0.5,0.0,2400,4,2.125833,3.053333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.053333,0.0
augmented_exact_k,cut_level,edge_dropout,1.0,0.75,0.0,2400,4,2.125833,1.733333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.733333,0.0
augmented_exact_k,cut_level,edge_dropout,1.0,1.0,0.0,2400,4,2.125833,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
augmented_exact_k,cut_level,frontier_dropout,0.0,0.25,0.0,2400,4,2.125833,2.686667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.686667,0.0
augmented_exact_k,cut_level,frontier_dropout,0.0,0.5,0.0,2400,4,2.125833,3.053333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.053333,0.0
augmented_exact_k,cut_level,frontier_dropout,0.0,0.75,0.0,2400,4,2.125833,1.733333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.733333,0.0
augmented_exact_k,cut_level,frontier_dropout,0.0,1.0,0.0,2400,4,2.125833,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
augmented_exact_k,cut_level,frontier_dropout,0.25,0.25,0.0,2400,4,2.125833,2.686667,1.0,1.0,0.439167,0.560833,0.560833,0.0,0.0,0.0,1.0,0.0,-0.560833,2.686667,0.0
augmented_exact_k,cut_level,frontier_dropout,0.25,0.5,0.0,2400,4,2.125833,3.053333,1.0,1.0,0.439167,0.560833,0.560833,0.0,0.0,0.0,1.0,0.0,-0.560833,3.053333,0.0
augmented_exact_k,cut_level,frontier_dropout,0.25,0.75,0.0,2400,4,2.125833,1.733333,1.0,1.0,0.816667,0.183333,0.183333,0.0,0.0,0.0,1.0,0.0,-0.183333,1.733333,0.0
augmented_exact_k,cut_level,frontier_dropout,0.25,1.0,0.0,2400,4,2.125833,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
augmented_exact_k,cut_level,frontier_dropout,0.5,0.25,0.0,2400,4,2.125833,2.686667,1.0,1.0,0.439167,0.560833,0.560833,0.0,0.0,0.0,1.0,0.0,-0.560833,2.686667,0.0
augmented_exact_k,cut_level,frontier_dropout,0.5,0.5,0.0,2400,4,2.125833,3.053333,1.0,1.0,0.6375,0.3625,0.3625,0.0,0.0,0.0,1.0,0.0,-0.3625,3.053333,0.0
augmented_exact_k,cut_level,frontier_dropout,0.5,0.75,0.0,2400,4,2.125833,1.733333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.733333,0.0
augmented_exact_k,cut_level,frontier_dropout,0.5,1.0,0.0,2400,4,2.125833,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
augmented_exact_k,cut_level,frontier_dropout,0.75,0.25,0.0,2400,4,2.125833,2.686667,1.0,1.0,0.816667,0.183333,0.183333,0.0,0.0,0.0,1.0,0.0,-0.183333,2.686667,0.0
augmented_exact_k,cut_level,frontier_dropout,0.75,0.5,0.0,2400,4,2.125833,3.053333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.053333,0.0
augmented_exact_k,cut_level,frontier_dropout,0.75,0.75,0.0,2400,4,2.125833,1.733333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.733333,0.0
augmented_exact_k,cut_level,frontier_dropout,0.75,1.0,0.0,2400,4,2.125833,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
augmented_exact_k,cut_level,frontier_dropout,1.0,0.25,0.0,2400,4,2.125833,2.686667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.686667,0.0
augmented_exact_k,cut_level,frontier_dropout,1.0,0.5,0.0,2400,4,2.125833,3.053333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.053333,0.0
augmented_exact_k,cut_level,frontier_dropout,1.0,0.75,0.0,2400,4,2.125833,1.733333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.733333,0.0
augmented_exact_k,cut_level,frontier_dropout,1.0,1.0,0.0,2400,4,2.125833,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
augmented_exact_k,cut_level,ledger_failure,0.0,0.25,0.0,2400,4,2.125833,2.686667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.686667,0.0
augmented_exact_k,cut_level,ledger_failure,0.0,0.25,0.25,2400,4,2.125833,2.686667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.686667,0.0
augmented_exact_k,cut_level,ledger_failure,0.0,0.25,0.5,2400,4,2.125833,2.686667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.686667,0.0
augmented_exact_k,cut_level,ledger_failure,0.0,0.25,0.75,2400,4,2.125833,2.686667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.686667,0.0
augmented_exact_k,cut_level,ledger_failure,0.0,0.25,1.0,2400,4,2.125833,2.686667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.686667,0.0
augmented_exact_k,cut_level,ledger_failure,0.0,0.5,0.0,2400,4,2.125833,3.053333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.053333,0.0
augmented_exact_k,cut_level,ledger_failure,0.0,0.5,0.25,2400,4,2.125833,3.053333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.053333,0.0
augmented_exact_k,cut_level,ledger_failure,0.0,0.5,0.5,2400,4,2.125833,3.053333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.053333,0.0
augmented_exact_k,cut_level,ledger_failure,0.0,0.5,0.75,2400,4,2.125833,3.053333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.053333,0.0
augmented_exact_k,cut_level,ledger_failure,0.0,0.5,1.0,2400,4,2.125833,3.053333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.053333,0.0
augmented_exact_k,cut_level,ledger_failure,0.0,0.75,0.0,2400,4,2.125833,1.733333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.733333,0.0
augmented_exact_k,cut_level,ledger_failure,0.0,0.75,0.25,2400,4,2.125833,1.733333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.733333,0.0
augmented_exact_k,cut_level,ledger_failure,0.0,0.75,0.5,2400,4,2.125833,1.733333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.733333,0.0
augmented_exact_k,cut_level,ledger_failure,0.0,0.75,0.75,2400,4,2.125833,1.733333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.733333,0.0
augmented_exact_k,cut_level,ledger_failure,0.0,0.75,1.0,2400,4,2.125833,1.733333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.733333,0.0
augmented_exact_k,cut_level,ledger_failure,0.0,1.0,0.0,2400,4,2.125833,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
augmented_exact_k,cut_level,ledger_failure,0.0,1.0,0.25,2400,4,2.125833,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
augmented_exact_k,cut_level,ledger_failure,0.0,1.0,0.5,2400,4,2.125833,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
augmented_exact_k,cut_level,ledger_failure,0.0,1.0,0.75,2400,4,2.125833,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
augmented_exact_k,cut_level,ledger_failure,0.0,1.0,1.0,2400,4,2.125833,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
augmented_exact_k,cut_level,ledger_failure,0.25,0.25,0.0,2400,4,2.125833,2.686667,1.0,0.620833,0.439167,0.181667,0.560833,0.620833,0.181667,0.560833,1.0,0.0,-0.181667,1.503333,0.621805
augmented_exact_k,cut_level,ledger_failure,0.25,0.25,0.25,2400,4,2.125833,2.686667,1.0,0.64625,0.439167,0.207083,0.560833,0.64625,0.207083,0.560833,1.0,0.0,-0.207083,1.503333,0.621805
augmented_exact_k,cut_level,ledger_failure,0.25,0.25,0.5,2400,4,2.125833,2.686667,1.0,0.631667,0.439167,0.1925,0.560833,0.631667,0.1925,0.560833,1.0,0.0,-0.1925,1.503333,0.621805
augmented_exact_k,cut_level,ledger_failure,0.25,0.25,0.75,2400,4,2.125833,2.686667,1.0,0.632083,0.439167,0.192917,0.560833,0.632083,0.192917,0.560833,1.0,0.0,-0.192917,1.503333,0.621805
augmented_exact_k,cut_level,ledger_failure,0.25,0.25,1.0,2400,4,2.125833,2.686667,1.0,0.644167,0.439167,0.205,0.560833,0.644167,0.205,0.560833,1.0,0.0,-0.205,1.503333,0.621805
augmented_exact_k,cut_level,ledger_failure,0.25,0.5,0.0,2400,4,2.125833,3.053333,1.0,0.61375,0.439167,0.174583,0.560833,0.61375,0.174583,0.560833,1.0,0.0,-0.174583,1.87,0.600853
augmented_exact_k,cut_level,ledger_failure,0.25,0.5,0.25,2400,4,2.125833,3.053333,1.0,0.625417,0.439167,0.18625,0.560833,0.625417,0.18625,0.560833,1.0,0.0,-0.18625,1.87,0.600853
augmented_exact_k,cut_level,ledger_failure,0.25,0.5,0.5,2400,4,2.125833,3.053333,1.0,0.61375,0.439167,0.174583,0.560833,0.61375,0.174583,0.560833,1.0,0.0,-0.174583,1.87,0.600853
augmented_exact_k,cut_level,ledger_failure,0.25,0.5,0.75,2400,4,2.125833,3.053333,1.0,0.6075,0.439167,0.168333,0.560833,0.6075,0.168333,0.560833,1.0,0.0,-0.168333,1.87,0.600853
augmented_exact_k,cut_level,ledger_failure,0.25,0.5,1.0,2400,4,2.125833,3.053333,1.0,0.635,0.439167,0.195833,0.560833,0.635,0.195833,0.560833,1.0,0.0,-0.195833,1.87,0.600853
augmented_exact_k,cut_level,ledger_failure,0.25,0.75,0.0,2400,4,2.125833,1.733333,1.0,0.88875,0.816667,0.072083,0.183333,0.88875,0.072083,0.183333,1.0,0.0,-0.072083,0.55,0.89
augmented_exact_k,cut_level,ledger_failure,0.25,0.75,0.25,2400,4,2.125833,1.733333,1.0,0.904583,0.816667,0.087917,0.183333,0.904583,0.087917,0.183333,1.0,0.0,-0.087917,0.55,0.89
augmented_exact_k,cut_level,ledger_failure,0.25,0.75,0.5,2400,4,2.125833,1.733333,1.0,0.901667,0.816667,0.085,0.183333,0.901667,0.085,0.183333,1.0,0.0,-0.085,0.55,0.89
