mode,family_semantics,certification_regime,severity,threshold_fraction,certificate_correlation,support_width,samples,family_size_mean,strict_parent_loss_rate,family_internal_loss_rate,certification_rescue_rate,family_certification_resilience_rate,mean_certified_family_member_count,metric_artifact_risk_rate
edge_dropout,at_least_k,independent_member,0.0,0.5,0.0,1,1054,1.0,0.0,0.0,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,0.0,0.5,0.0,2,430,3.0,0.0,0.0,0.0,0.0,3.0,0.0
edge_dropout,at_least_k,independent_member,0.0,0.5,0.0,3,476,4.0,0.0,0.0,0.0,0.0,4.0,0.0
edge_dropout,at_least_k,independent_member,0.0,0.5,0.0,4,440,11.0,0.0,0.0,0.0,0.0,11.0,0.0
edge_dropout,at_least_k,independent_member,0.0,0.75,0.0,1,1054,1.0,0.0,0.0,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,0.0,0.75,0.0,2,430,1.0,0.0,0.0,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,0.0,0.75,0.0,3,476,1.0,0.0,0.0,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,0.0,0.75,0.0,4,440,5.0,0.0,0.0,0.0,0.0,5.0,0.0
edge_dropout,at_least_k,independent_member,0.0,1.0,0.0,1,1054,1.0,0.0,0.0,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,0.0,1.0,0.0,2,430,1.0,0.0,0.0,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,0.0,1.0,0.0,3,476,1.0,0.0,0.0,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,0.0,1.0,0.0,4,440,1.0,0.0,0.0,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,0.25,0.25,0.0,1,1054,1.0,0.877609,0.877609,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,0.25,0.25,0.0,2,430,3.0,0.562791,0.083721,0.0,0.0,3.0,0.0
edge_dropout,at_least_k,independent_member,0.25,0.25,0.0,3,476,7.0,0.701681,0.012605,0.0,0.0,7.0,0.0
edge_dropout,at_least_k,independent_member,0.25,0.25,0.0,4,440,15.0,0.740909,0.002273,0.0,0.0,15.0,0.0
edge_dropout,at_least_k,independent_member,0.25,0.5,0.0,1,1054,1.0,0.877609,0.877609,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,0.25,0.5,0.0,2,430,3.0,0.562791,0.083721,0.0,0.0,3.0,0.0
edge_dropout,at_least_k,independent_member,0.25,0.5,0.0,3,476,4.0,0.701681,0.170168,0.0,0.0,4.0,0.0
edge_dropout,at_least_k,independent_member,0.25,0.5,0.0,4,440,11.0,0.740909,0.029545,0.0,0.0,11.0,0.0
edge_dropout,at_least_k,independent_member,0.25,0.75,0.0,1,1054,1.0,0.877609,0.877609,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,0.25,0.75,0.0,2,430,1.0,0.562791,0.562791,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,0.25,0.75,0.0,3,476,1.0,0.701681,0.701681,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,0.25,0.75,0.0,4,440,5.0,0.740909,0.277273,0.0,0.0,5.0,0.0
edge_dropout,at_least_k,independent_member,0.25,1.0,0.0,1,1054,1.0,0.877609,0.877609,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,0.25,1.0,0.0,2,430,1.0,0.562791,0.562791,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,0.25,1.0,0.0,3,476,1.0,0.701681,0.701681,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,0.25,1.0,0.0,4,440,1.0,0.740909,0.740909,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,0.5,0.25,0.0,1,1054,1.0,0.702087,0.702087,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,0.5,0.25,0.0,2,430,3.0,0.834884,0.218605,0.0,0.0,3.0,0.0
edge_dropout,at_least_k,independent_member,0.5,0.25,0.0,3,476,7.0,0.905462,0.105042,0.0,0.0,7.0,0.0
edge_dropout,at_least_k,independent_member,0.5,0.25,0.0,4,440,15.0,0.965909,0.025,0.0,0.0,15.0,0.0
edge_dropout,at_least_k,independent_member,0.5,0.5,0.0,1,1054,1.0,0.702087,0.702087,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,0.5,0.5,0.0,2,430,3.0,0.834884,0.218605,0.0,0.0,3.0,0.0
edge_dropout,at_least_k,independent_member,0.5,0.5,0.0,3,476,4.0,0.905462,0.548319,0.0,0.0,4.0,0.0
edge_dropout,at_least_k,independent_member,0.5,0.5,0.0,4,440,11.0,0.965909,0.313636,0.0,0.0,11.0,0.0
edge_dropout,at_least_k,independent_member,0.5,0.75,0.0,1,1054,1.0,0.702087,0.702087,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,0.5,0.75,0.0,2,430,1.0,0.834884,0.834884,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,0.5,0.75,0.0,3,476,1.0,0.905462,0.905462,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,0.5,0.75,0.0,4,440,5.0,0.965909,0.720455,0.0,0.0,5.0,0.0
edge_dropout,at_least_k,independent_member,0.5,1.0,0.0,1,1054,1.0,0.702087,0.702087,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,0.5,1.0,0.0,2,430,1.0,0.834884,0.834884,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,0.5,1.0,0.0,3,476,1.0,0.905462,0.905462,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,0.5,1.0,0.0,4,440,1.0,0.965909,0.965909,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,0.75,0.25,0.0,1,1054,1.0,1.0,1.0,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,0.75,0.25,0.0,2,430,3.0,0.974419,0.595349,0.0,0.0,3.0,0.0
edge_dropout,at_least_k,independent_member,0.75,0.25,0.0,3,476,7.0,0.993697,0.42437,0.0,0.0,7.0,0.0
edge_dropout,at_least_k,independent_member,0.75,0.25,0.0,4,440,15.0,1.0,0.304545,0.0,0.0,15.0,0.0
edge_dropout,at_least_k,independent_member,0.75,0.5,0.0,1,1054,1.0,1.0,1.0,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,0.75,0.5,0.0,2,430,3.0,0.974419,0.595349,0.0,0.0,3.0,0.0
edge_dropout,at_least_k,independent_member,0.75,0.5,0.0,3,476,4.0,0.993697,0.897059,0.0,0.0,4.0,0.0
edge_dropout,at_least_k,independent_member,0.75,0.5,0.0,4,440,11.0,1.0,0.806818,0.0,0.0,11.0,0.0
edge_dropout,at_least_k,independent_member,0.75,0.75,0.0,1,1054,1.0,1.0,1.0,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,0.75,0.75,0.0,2,430,1.0,0.974419,0.974419,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,0.75,0.75,0.0,3,476,1.0,0.993697,0.993697,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,0.75,0.75,0.0,4,440,5.0,1.0,0.986364,0.0,0.0,5.0,0.0
edge_dropout,at_least_k,independent_member,0.75,1.0,0.0,1,1054,1.0,1.0,1.0,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,0.75,1.0,0.0,2,430,1.0,0.974419,0.974419,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,0.75,1.0,0.0,3,476,1.0,0.993697,0.993697,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,0.75,1.0,0.0,4,440,1.0,1.0,1.0,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,1.0,0.25,0.0,1,1054,1.0,1.0,1.0,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,1.0,0.25,0.0,2,430,3.0,1.0,1.0,0.0,0.0,3.0,0.0
edge_dropout,at_least_k,independent_member,1.0,0.25,0.0,3,476,7.0,1.0,1.0,0.0,0.0,7.0,0.0
edge_dropout,at_least_k,independent_member,1.0,0.25,0.0,4,440,15.0,1.0,1.0,0.0,0.0,15.0,0.0
edge_dropout,at_least_k,independent_member,1.0,0.5,0.0,1,1054,1.0,1.0,1.0,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,1.0,0.5,0.0,2,430,3.0,1.0,1.0,0.0,0.0,3.0,0.0
edge_dropout,at_least_k,independent_member,1.0,0.5,0.0,3,476,4.0,1.0,1.0,0.0,0.0,4.0,0.0
edge_dropout,at_least_k,independent_member,1.0,0.5,0.0,4,440,11.0,1.0,1.0,0.0,0.0,11.0,0.0
edge_dropout,at_least_k,independent_member,1.0,0.75,0.0,1,1054,1.0,1.0,1.0,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,1.0,0.75,0.0,2,430,1.0,1.0,1.0,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,1.0,0.75,0.0,3,476,1.0,1.0,1.0,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,1.0,0.75,0.0,4,440,5.0,1.0,1.0,0.0,0.0,5.0,0.0
edge_dropout,at_least_k,independent_member,1.0,1.0,0.0,1,1054,1.0,1.0,1.0,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,1.0,1.0,0.0,2,430,1.0,1.0,1.0,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,1.0,1.0,0.0,3,476,1.0,1.0,1.0,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,independent_member,1.0,1.0,0.0,4,440,1.0,1.0,1.0,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,parent_shared,0.0,0.25,0.0,1,1054,1.0,0.0,0.0,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,parent_shared,0.0,0.25,0.0,2,430,3.0,0.0,0.0,0.0,0.0,3.0,0.0
edge_dropout,at_least_k,parent_shared,0.0,0.25,0.0,3,476,7.0,0.0,0.0,0.0,0.0,7.0,0.0
edge_dropout,at_least_k,parent_shared,0.0,0.25,0.0,4,440,15.0,0.0,0.0,0.0,0.0,15.0,0.0
edge_dropout,at_least_k,parent_shared,0.0,0.5,0.0,1,1054,1.0,0.0,0.0,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,parent_shared,0.0,0.5,0.0,2,430,3.0,0.0,0.0,0.0,0.0,3.0,0.0
edge_dropout,at_least_k,parent_shared,0.0,0.5,0.0,3,476,4.0,0.0,0.0,0.0,0.0,4.0,0.0
edge_dropout,at_least_k,parent_shared,0.0,0.5,0.0,4,440,11.0,0.0,0.0,0.0,0.0,11.0,0.0
edge_dropout,at_least_k,parent_shared,0.0,0.75,0.0,1,1054,1.0,0.0,0.0,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,parent_shared,0.0,0.75,0.0,2,430,1.0,0.0,0.0,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,parent_shared,0.0,0.75,0.0,3,476,1.0,0.0,0.0,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,parent_shared,0.0,0.75,0.0,4,440,5.0,0.0,0.0,0.0,0.0,5.0,0.0
edge_dropout,at_least_k,parent_shared,0.0,1.0,0.0,1,1054,1.0,0.0,0.0,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,parent_shared,0.0,1.0,0.0,2,430,1.0,0.0,0.0,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,parent_shared,0.0,1.0,0.0,3,476,1.0,0.0,0.0,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,parent_shared,0.0,1.0,0.0,4,440,1.0,0.0,0.0,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,parent_shared,0.25,0.25,0.0,1,1054,1.0,0.877609,0.877609,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,parent_shared,0.25,0.25,0.0,2,430,3.0,0.562791,0.083721,0.0,0.0,3.0,0.0
edge_dropout,at_least_k,parent_shared,0.25,0.25,0.0,3,476,7.0,0.701681,0.012605,0.0,0.0,7.0,0.0
edge_dropout,at_least_k,parent_shared,0.25,0.25,0.0,4,440,15.0,0.740909,0.002273,0.0,0.0,15.0,0.0
edge_dropout,at_least_k,parent_shared,0.25,0.5,0.0,1,1054,1.0,0.877609,0.877609,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,parent_shared,0.25,0.5,0.0,2,430,3.0,0.562791,0.083721,0.0,0.0,3.0,0.0
edge_dropout,at_least_k,parent_shared,0.25,0.5,0.0,3,476,4.0,0.701681,0.170168,0.0,0.0,4.0,0.0
edge_dropout,at_least_k,parent_shared,0.25,0.5,0.0,4,440,11.0,0.740909,0.029545,0.0,0.0,11.0,0.0
edge_dropout,at_least_k,parent_shared,0.25,0.75,0.0,1,1054,1.0,0.877609,0.877609,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,parent_shared,0.25,0.75,0.0,2,430,1.0,0.562791,0.562791,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,parent_shared,0.25,0.75,0.0,3,476,1.0,0.701681,0.701681,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,parent_shared,0.25,0.75,0.0,4,440,5.0,0.740909,0.277273,0.0,0.0,5.0,0.0
edge_dropout,at_least_k,parent_shared,0.25,1.0,0.0,1,1054,1.0,0.877609,0.877609,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,parent_shared,0.25,1.0,0.0,2,430,1.0,0.562791,0.562791,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,parent_shared,0.25,1.0,0.0,3,476,1.0,0.701681,0.701681,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,parent_shared,0.25,1.0,0.0,4,440,1.0,0.740909,0.740909,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,parent_shared,0.5,0.25,0.0,1,1054,1.0,0.702087,0.702087,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,parent_shared,0.5,0.25,0.0,2,430,3.0,0.834884,0.218605,0.0,0.0,3.0,0.0
edge_dropout,at_least_k,parent_shared,0.5,0.25,0.0,3,476,7.0,0.905462,0.105042,0.0,0.0,7.0,0.0
edge_dropout,at_least_k,parent_shared,0.5,0.25,0.0,4,440,15.0,0.965909,0.025,0.0,0.0,15.0,0.0
edge_dropout,at_least_k,parent_shared,0.5,0.5,0.0,1,1054,1.0,0.702087,0.702087,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,parent_shared,0.5,0.5,0.0,2,430,3.0,0.834884,0.218605,0.0,0.0,3.0,0.0
edge_dropout,at_least_k,parent_shared,0.5,0.5,0.0,3,476,4.0,0.905462,0.548319,0.0,0.0,4.0,0.0
edge_dropout,at_least_k,parent_shared,0.5,0.5,0.0,4,440,11.0,0.965909,0.313636,0.0,0.0,11.0,0.0
edge_dropout,at_least_k,parent_shared,0.5,0.75,0.0,1,1054,1.0,0.702087,0.702087,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,parent_shared,0.5,0.75,0.0,2,430,1.0,0.834884,0.834884,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,parent_shared,0.5,0.75,0.0,3,476,1.0,0.905462,0.905462,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,parent_shared,0.5,0.75,0.0,4,440,5.0,0.965909,0.720455,0.0,0.0,5.0,0.0
edge_dropout,at_least_k,parent_shared,0.5,1.0,0.0,1,1054,1.0,0.702087,0.702087,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,parent_shared,0.5,1.0,0.0,2,430,1.0,0.834884,0.834884,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,parent_shared,0.5,1.0,0.0,3,476,1.0,0.905462,0.905462,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,parent_shared,0.5,1.0,0.0,4,440,1.0,0.965909,0.965909,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,parent_shared,0.75,0.25,0.0,1,1054,1.0,1.0,1.0,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,parent_shared,0.75,0.25,0.0,2,430,3.0,0.974419,0.595349,0.0,0.0,3.0,0.0
edge_dropout,at_least_k,parent_shared,0.75,0.25,0.0,3,476,7.0,0.993697,0.42437,0.0,0.0,7.0,0.0
edge_dropout,at_least_k,parent_shared,0.75,0.25,0.0,4,440,15.0,1.0,0.304545,0.0,0.0,15.0,0.0
edge_dropout,at_least_k,parent_shared,0.75,0.5,0.0,1,1054,1.0,1.0,1.0,0.0,0.0,1.0,0.0
edge_dropout,at_least_k,parent_shared,0.75,0.5,0.0,2,430,3.0,0.974419,0.595349,0.0,0.0,3.0,0.0
