config_id,keying,family_semantics,threshold_fraction,support_width,family_size,rows,orientation_bins,low_rows,medium_rows,high_rows,estimable_low_high,rows_per_estimable_stratum
steps32_targets12_bp0.35_wj0.55,edge_direction_only,at_least_k,1.0,1,1,593,low,593,0,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_direction_only,at_least_k,1.0,2,1,190,low,190,0,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_direction_only,at_least_k,1.0,3,1,216,low,216,0,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_direction_only,at_least_k,1.0,4,1,201,low,201,0,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_direction_only,augmented_exact_k,0.25,1,1,593,low,593,0,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_direction_only,augmented_exact_k,0.25,2,3,190,medium,0,190,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_direction_only,augmented_exact_k,0.25,3,4,216,low,216,0,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_direction_only,augmented_exact_k,0.25,4,5,201,low,201,0,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_direction_only,augmented_exact_k,0.5,1,1,593,low,593,0,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_direction_only,augmented_exact_k,0.5,2,3,190,medium,0,190,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_direction_only,augmented_exact_k,0.5,3,4,216,medium,0,216,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_direction_only,augmented_exact_k,0.5,4,7,201,medium,0,201,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_direction_only,augmented_exact_k,0.75,1,1,593,low,593,0,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_direction_only,augmented_exact_k,0.75,2,1,190,low,190,0,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_direction_only,augmented_exact_k,0.75,3,1,216,low,216,0,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_direction_only,augmented_exact_k,0.75,4,5,201,medium,0,201,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_direction_only,augmented_exact_k,1.0,1,1,593,low,593,0,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_direction_only,augmented_exact_k,1.0,2,1,190,low,190,0,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_direction_only,augmented_exact_k,1.0,3,1,216,low,216,0,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_direction_only,augmented_exact_k,1.0,4,1,201,low,201,0,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,at_least_k,0.25,1,1,593,low,593,0,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,at_least_k,0.25,2,3,190,medium,0,190,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,at_least_k,0.25,3,7,216,medium,0,216,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,at_least_k,0.25,4,15,201,medium,0,201,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,at_least_k,0.5,1,1,593,low,593,0,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,at_least_k,0.5,2,3,190,medium,0,190,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,at_least_k,0.5,3,4,216,medium,0,216,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,at_least_k,0.5,4,11,201,medium,0,201,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,at_least_k,0.75,1,1,593,low,593,0,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,at_least_k,0.75,2,1,190,low,190,0,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,at_least_k,0.75,3,1,216,low,216,0,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,at_least_k,0.75,4,5,201,medium,0,201,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,at_least_k,1.0,1,1,593,low,593,0,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,at_least_k,1.0,2,1,190,low,190,0,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,at_least_k,1.0,3,1,216,low,216,0,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,at_least_k,1.0,4,1,201,low,201,0,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,augmented_exact_k,0.25,1,1,593,low,593,0,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,augmented_exact_k,0.25,2,3,190,medium,0,190,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,augmented_exact_k,0.25,3,4,216,low,216,0,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,augmented_exact_k,0.25,4,5,201,low,201,0,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,augmented_exact_k,0.5,1,1,593,low,593,0,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,augmented_exact_k,0.5,2,3,190,medium,0,190,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,augmented_exact_k,0.5,3,4,216,medium,0,216,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,augmented_exact_k,0.5,4,7,201,medium,0,201,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,augmented_exact_k,0.75,1,1,593,low,593,0,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,augmented_exact_k,0.75,2,1,190,low,190,0,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,augmented_exact_k,0.75,3,1,216,low,216,0,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,augmented_exact_k,0.75,4,5,201,medium,0,201,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,augmented_exact_k,1.0,1,1,593,low,593,0,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,augmented_exact_k,1.0,2,1,190,low,190,0,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,augmented_exact_k,1.0,3,1,216,low,216,0,0,False,0
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,augmented_exact_k,1.0,4,1,201,low,201,0,0,False,0
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,at_least_k,0.25,1,1,593,low,593,0,0,False,0
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,at_least_k,0.25,2,3,190,medium,0,190,0,False,0
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,at_least_k,0.25,3,7,216,medium,0,216,0,False,0
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,at_least_k,0.25,4,15,201,medium,0,201,0,False,0
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,at_least_k,0.5,1,1,593,low,593,0,0,False,0
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,at_least_k,0.5,2,3,190,medium,0,190,0,False,0
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,at_least_k,0.5,3,4,216,medium,0,216,0,False,0
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,at_least_k,0.5,4,11,201,medium,0,201,0,False,0
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,at_least_k,0.75,1,1,593,low,593,0,0,False,0
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,at_least_k,0.75,2,1,190,low,190,0,0,False,0
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,at_least_k,0.75,3,1,216,low,216,0,0,False,0
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,at_least_k,0.75,4,5,201,medium,0,201,0,False,0
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,at_least_k,1.0,1,1,593,low,593,0,0,False,0
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,at_least_k,1.0,2,1,190,low,190,0,0,False,0
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,at_least_k,1.0,3,1,216,low,216,0,0,False,0
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,at_least_k,1.0,4,1,201,low,201,0,0,False,0
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,augmented_exact_k,0.25,1,1,593,low,593,0,0,False,0
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,augmented_exact_k,0.25,2,3,190,medium,0,190,0,False,0
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,augmented_exact_k,0.25,3,4,216,low,216,0,0,False,0
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,augmented_exact_k,0.25,4,5,201,low,201,0,0,False,0
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,augmented_exact_k,0.5,1,1,593,low,593,0,0,False,0
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,augmented_exact_k,0.5,2,3,190,medium,0,190,0,False,0
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,augmented_exact_k,0.5,3,4,216,medium,0,216,0,False,0
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,augmented_exact_k,0.5,4,7,201,medium,0,201,0,False,0
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,augmented_exact_k,0.75,1,1,593,low,593,0,0,False,0
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,augmented_exact_k,0.75,2,1,190,low,190,0,0,False,0
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,augmented_exact_k,0.75,3,1,216,low,216,0,0,False,0
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,augmented_exact_k,0.75,4,5,201,medium,0,201,0,False,0
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,augmented_exact_k,1.0,1,1,593,low,593,0,0,False,0
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,augmented_exact_k,1.0,2,1,190,low,190,0,0,False,0
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,augmented_exact_k,1.0,3,1,216,low,216,0,0,False,0
steps32_targets12_bp0.35_wj0.55,graph_cut_member_index_free,augmented_exact_k,1.0,4,1,201,low,201,0,0,False,0
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,at_least_k,0.25,1,1,593,low,593,0,0,False,0
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,at_least_k,0.25,2,3,190,medium;high,0,118,72,False,0
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,at_least_k,0.25,3,7,216,medium;high,0,105,111,False,0
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,at_least_k,0.25,4,15,201,medium;high,0,92,109,False,0
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,at_least_k,0.5,1,1,593,low,593,0,0,False,0
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,at_least_k,0.5,2,3,190,medium;high,0,118,72,False,0
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,at_least_k,0.5,3,4,216,medium;high,0,41,175,False,0
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,at_least_k,0.5,4,11,201,medium;high,0,52,149,False,0
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,at_least_k,0.75,1,1,593,low,593,0,0,False,0
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,at_least_k,0.75,2,1,190,low,190,0,0,False,0
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,at_least_k,0.75,3,1,216,low,216,0,0,False,0
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,at_least_k,0.75,4,5,201,medium;high,0,5,196,False,0
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,at_least_k,1.0,1,1,593,low,593,0,0,False,0
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,at_least_k,1.0,2,1,190,low,190,0,0,False,0
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,at_least_k,1.0,3,1,216,low,216,0,0,False,0
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,at_least_k,1.0,4,1,201,low,201,0,0,False,0
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,augmented_exact_k,0.25,1,1,593,low,593,0,0,False,0
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,augmented_exact_k,0.25,2,3,190,medium;high,0,118,72,False,0
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,augmented_exact_k,0.25,3,4,216,medium;high,0,148,68,False,0
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,augmented_exact_k,0.25,4,5,201,low;medium;high,11,128,62,True,201
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,augmented_exact_k,0.5,1,1,593,low,593,0,0,False,0
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,augmented_exact_k,0.5,2,3,190,medium;high,0,118,72,False,0
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,augmented_exact_k,0.5,3,4,216,medium;high,0,41,175,False,0
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,augmented_exact_k,0.5,4,7,201,medium;high,0,92,109,False,0
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,augmented_exact_k,0.75,1,1,593,low,593,0,0,False,0
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,augmented_exact_k,0.75,2,1,190,low,190,0,0,False,0
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,augmented_exact_k,0.75,3,1,216,low,216,0,0,False,0
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,augmented_exact_k,0.75,4,5,201,medium;high,0,5,196,False,0
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,augmented_exact_k,1.0,1,1,593,low,593,0,0,False,0
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,augmented_exact_k,1.0,2,1,190,low,190,0,0,False,0
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,augmented_exact_k,1.0,3,1,216,low,216,0,0,False,0
steps32_targets12_bp0.35_wj0.55,incidence_role_signed,augmented_exact_k,1.0,4,1,201,low,201,0,0,False,0
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,at_least_k,0.25,1,1,505,low,505,0,0,False,0
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,at_least_k,0.25,2,3,210,medium,0,210,0,False,0
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,at_least_k,0.25,3,7,251,medium,0,251,0,False,0
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,at_least_k,0.25,4,15,234,medium,0,234,0,False,0
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,at_least_k,0.5,1,1,505,low,505,0,0,False,0
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,at_least_k,0.5,2,3,210,medium,0,210,0,False,0
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,at_least_k,0.5,3,4,251,medium,0,251,0,False,0
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,at_least_k,0.5,4,11,234,medium,0,234,0,False,0
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,at_least_k,0.75,1,1,505,low,505,0,0,False,0
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,at_least_k,0.75,2,1,210,low,210,0,0,False,0
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,at_least_k,0.75,3,1,251,low,251,0,0,False,0
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,at_least_k,0.75,4,5,234,medium,0,234,0,False,0
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,at_least_k,1.0,1,1,505,low,505,0,0,False,0
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,at_least_k,1.0,2,1,210,low,210,0,0,False,0
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,at_least_k,1.0,3,1,251,low,251,0,0,False,0
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,at_least_k,1.0,4,1,234,low,234,0,0,False,0
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,augmented_exact_k,0.25,1,1,505,low,505,0,0,False,0
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,augmented_exact_k,0.25,2,3,210,medium,0,210,0,False,0
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,augmented_exact_k,0.25,3,4,251,low,251,0,0,False,0
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,augmented_exact_k,0.25,4,5,234,low,234,0,0,False,0
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,augmented_exact_k,0.5,1,1,505,low,505,0,0,False,0
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,augmented_exact_k,0.5,2,3,210,medium,0,210,0,False,0
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,augmented_exact_k,0.5,3,4,251,medium,0,251,0,False,0
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,augmented_exact_k,0.5,4,7,234,medium,0,234,0,False,0
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,augmented_exact_k,0.75,1,1,505,low,505,0,0,False,0
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,augmented_exact_k,0.75,2,1,210,low,210,0,0,False,0
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,augmented_exact_k,0.75,3,1,251,low,251,0,0,False,0
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,augmented_exact_k,0.75,4,5,234,medium,0,234,0,False,0
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,augmented_exact_k,1.0,1,1,505,low,505,0,0,False,0
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,augmented_exact_k,1.0,2,1,210,low,210,0,0,False,0
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,augmented_exact_k,1.0,3,1,251,low,251,0,0,False,0
steps32_targets12_bp0.35_wj0.72,catalog_augmented_edge_pair,augmented_exact_k,1.0,4,1,234,low,234,0,0,False,0
steps32_targets12_bp0.35_wj0.72,edge_direction_only,at_least_k,0.25,1,1,505,low,505,0,0,False,0
steps32_targets12_bp0.35_wj0.72,edge_direction_only,at_least_k,0.25,2,3,210,medium,0,210,0,False,0
steps32_targets12_bp0.35_wj0.72,edge_direction_only,at_least_k,0.25,3,7,251,medium,0,251,0,False,0
steps32_targets12_bp0.35_wj0.72,edge_direction_only,at_least_k,0.25,4,15,234,medium,0,234,0,False,0
steps32_targets12_bp0.35_wj0.72,edge_direction_only,at_least_k,0.5,1,1,505,low,505,0,0,False,0
steps32_targets12_bp0.35_wj0.72,edge_direction_only,at_least_k,0.5,2,3,210,medium,0,210,0,False,0
steps32_targets12_bp0.35_wj0.72,edge_direction_only,at_least_k,0.5,3,4,251,medium,0,251,0,False,0
steps32_targets12_bp0.35_wj0.72,edge_direction_only,at_least_k,0.5,4,11,234,medium,0,234,0,False,0
steps32_targets12_bp0.35_wj0.72,edge_direction_only,at_least_k,0.75,1,1,505,low,505,0,0,False,0
steps32_targets12_bp0.35_wj0.72,edge_direction_only,at_least_k,0.75,2,1,210,low,210,0,0,False,0
steps32_targets12_bp0.35_wj0.72,edge_direction_only,at_least_k,0.75,3,1,251,low,251,0,0,False,0
steps32_targets12_bp0.35_wj0.72,edge_direction_only,at_least_k,0.75,4,5,234,medium,0,234,0,False,0
steps32_targets12_bp0.35_wj0.72,edge_direction_only,at_least_k,1.0,1,1,505,low,505,0,0,False,0
steps32_targets12_bp0.35_wj0.72,edge_direction_only,at_least_k,1.0,2,1,210,low,210,0,0,False,0
steps32_targets12_bp0.35_wj0.72,edge_direction_only,at_least_k,1.0,3,1,251,low,251,0,0,False,0
steps32_targets12_bp0.35_wj0.72,edge_direction_only,at_least_k,1.0,4,1,234,low,234,0,0,False,0
steps32_targets12_bp0.35_wj0.72,edge_direction_only,augmented_exact_k,0.25,1,1,505,low,505,0,0,False,0
steps32_targets12_bp0.35_wj0.72,edge_direction_only,augmented_exact_k,0.25,2,3,210,medium,0,210,0,False,0
steps32_targets12_bp0.35_wj0.72,edge_direction_only,augmented_exact_k,0.25,3,4,251,low,251,0,0,False,0
steps32_targets12_bp0.35_wj0.72,edge_direction_only,augmented_exact_k,0.25,4,5,234,low,234,0,0,False,0
steps32_targets12_bp0.35_wj0.72,edge_direction_only,augmented_exact_k,0.5,1,1,505,low,505,0,0,False,0
steps32_targets12_bp0.35_wj0.72,edge_direction_only,augmented_exact_k,0.5,2,3,210,medium,0,210,0,False,0
steps32_targets12_bp0.35_wj0.72,edge_direction_only,augmented_exact_k,0.5,3,4,251,medium,0,251,0,False,0
steps32_targets12_bp0.35_wj0.72,edge_direction_only,augmented_exact_k,0.5,4,7,234,medium,0,234,0,False,0
steps32_targets12_bp0.35_wj0.72,edge_direction_only,augmented_exact_k,0.75,1,1,505,low,505,0,0,False,0
steps32_targets12_bp0.35_wj0.72,edge_direction_only,augmented_exact_k,0.75,2,1,210,low,210,0,0,False,0
steps32_targets12_bp0.35_wj0.72,edge_direction_only,augmented_exact_k,0.75,3,1,251,low,251,0,0,False,0
steps32_targets12_bp0.35_wj0.72,edge_direction_only,augmented_exact_k,0.75,4,5,234,medium,0,234,0,False,0
steps32_targets12_bp0.35_wj0.72,edge_direction_only,augmented_exact_k,1.0,1,1,505,low,505,0,0,False,0
steps32_targets12_bp0.35_wj0.72,edge_direction_only,augmented_exact_k,1.0,2,1,210,low,210,0,0,False,0
steps32_targets12_bp0.35_wj0.72,edge_direction_only,augmented_exact_k,1.0,3,1,251,low,251,0,0,False,0
steps32_targets12_bp0.35_wj0.72,edge_direction_only,augmented_exact_k,1.0,4,1,234,low,234,0,0,False,0
steps32_targets12_bp0.35_wj0.72,edge_pair_signed_no_member,at_least_k,0.25,1,1,505,low,505,0,0,False,0
steps32_targets12_bp0.35_wj0.72,edge_pair_signed_no_member,at_least_k,0.25,2,3,210,medium,0,210,0,False,0
